Sequence_ID	Header	Length	Sequence_Type
g14811.t1	g14811.t1	160	PROTEIN
g14812.t1	g14812.t1	574	PROTEIN
g14813.t1	g14813.t1	169	PROTEIN
g14814.t1	g14814.t1	635	PROTEIN
g14815.t1	g14815.t1	110	PROTEIN
g14816.t1	g14816.t1	68	PROTEIN
g14817.t1	g14817.t1	88	PROTEIN
g14818.t1	g14818.t1	202	PROTEIN
g14819.t1	g14819.t1	144	PROTEIN
g14820.t1	g14820.t1	125	PROTEIN
g14821.t1	g14821.t1	164	PROTEIN
g14822.t1	g14822.t1	76	PROTEIN
g14823.t1	g14823.t1	702	PROTEIN
g14824.t1	g14824.t1	930	PROTEIN
g14825.t1	g14825.t1	136	PROTEIN
g14826.t1	g14826.t1	84	PROTEIN
g14827.t1	g14827.t1	198	PROTEIN
g14828.t1	g14828.t1	244	PROTEIN
g14829.t1	g14829.t1	907	PROTEIN
g14830.t1	g14830.t1	510	PROTEIN
g14831.t1	g14831.t1	191	PROTEIN
g14832.t1	g14832.t1	138	PROTEIN
g14833.t1	g14833.t1	386	PROTEIN
g14834.t1	g14834.t1	888	PROTEIN
g14835.t1	g14835.t1	1206	PROTEIN
g14836.t1	g14836.t1	182	PROTEIN
g14837.t1	g14837.t1	324	PROTEIN
g14838.t1	g14838.t1	165	PROTEIN
g14839.t1	g14839.t1	191	PROTEIN
g14840.t1	g14840.t1	331	PROTEIN
g14841.t1	g14841.t1	254	PROTEIN
g14842.t1	g14842.t1	227	PROTEIN
g14843.t1	g14843.t1	255	PROTEIN
g14844.t1	g14844.t1	211	PROTEIN
g14845.t1	g14845.t1	178	PROTEIN
g14846.t1	g14846.t1	261	PROTEIN
g14847.t1	g14847.t1	291	PROTEIN
g14848.t1	g14848.t1	799	PROTEIN
g14849.t1	g14849.t1	577	PROTEIN
g14850.t1	g14850.t1	132	PROTEIN
g14851.t1	g14851.t1	236	PROTEIN
g14852.t1	g14852.t1	204	PROTEIN
g14853.t1	g14853.t1	387	PROTEIN
g14854.t1	g14854.t1	269	PROTEIN
g14855.t1	g14855.t1	113	PROTEIN
g14856.t1	g14856.t1	93	PROTEIN
g14857.t1	g14857.t1	120	PROTEIN
g14858.t1	g14858.t1	240	PROTEIN
g14859.t1	g14859.t1	90	PROTEIN
g14860.t1	g14860.t1	154	PROTEIN
g14861.t1	g14861.t1	196	PROTEIN
g14862.t1	g14862.t1	158	PROTEIN
g14863.t1	g14863.t1	118	PROTEIN
g14864.t1	g14864.t1	112	PROTEIN
g14865.t1	g14865.t1	103	PROTEIN
g14866.t1	g14866.t1	289	PROTEIN
g14867.t1	g14867.t1	75	PROTEIN
g14868.t1	g14868.t1	460	PROTEIN
g14869.t1	g14869.t1	320	PROTEIN
g14870.t1	g14870.t1	237	PROTEIN
g14871.t1	g14871.t1	445	PROTEIN
g14872.t1	g14872.t1	237	PROTEIN
g14873.t2	g14873.t2	1664	PROTEIN
g14874.t1	g14874.t1	240	PROTEIN
g14875.t1	g14875.t1	528	PROTEIN
g14876.t1	g14876.t1	993	PROTEIN
g14877.t1	g14877.t1	258	PROTEIN
g14878.t1	g14878.t1	351	PROTEIN
g14879.t1	g14879.t1	235	PROTEIN
g14880.t1	g14880.t1	339	PROTEIN
g14881.t1	g14881.t1	304	PROTEIN
g14882.t1	g14882.t1	273	PROTEIN
g14883.t1	g14883.t1	212	PROTEIN
g14884.t1	g14884.t1	151	PROTEIN
g14885.t1	g14885.t1	780	PROTEIN
g14886.t1	g14886.t1	400	PROTEIN
g14887.t1	g14887.t1	334	PROTEIN
g14888.t1	g14888.t1	187	PROTEIN
g14889.t1	g14889.t1	265	PROTEIN
g14890.t1	g14890.t1	400	PROTEIN
g14891.t1	g14891.t1	96	PROTEIN
g14892.t1	g14892.t1	273	PROTEIN
g14893.t1	g14893.t1	1214	PROTEIN
g14894.t1	g14894.t1	849	PROTEIN
g14895.t1	g14895.t1	104	PROTEIN
g14896.t1	g14896.t1	198	PROTEIN
g14897.t1	g14897.t1	194	PROTEIN
g14898.t1	g14898.t1	199	PROTEIN
g14899.t1	g14899.t1	257	PROTEIN
g14900.t1	g14900.t1	686	PROTEIN
g14901.t1	g14901.t1	135	PROTEIN
g14902.t1	g14902.t1	103	PROTEIN
g14903.t1	g14903.t1	247	PROTEIN
g14904.t1	g14904.t1	149	PROTEIN
g14905.t1	g14905.t1	291	PROTEIN
g14906.t1	g14906.t1	161	PROTEIN
g14907.t1	g14907.t1	285	PROTEIN
g14908.t1	g14908.t1	69	PROTEIN
g14909.t1	g14909.t1	101	PROTEIN
g14910.t1	g14910.t1	57	PROTEIN
g14911.t1	g14911.t1	128	PROTEIN
g14912.t1	g14912.t1	212	PROTEIN
g14913.t1	g14913.t1	184	PROTEIN
g14914.t1	g14914.t1	274	PROTEIN
g14915.t1	g14915.t1	196	PROTEIN
g14916.t1	g14916.t1	70	PROTEIN
g14917.t1	g14917.t1	349	PROTEIN
g14918.t2	g14918.t2	73	PROTEIN
g14919.t1	g14919.t1	384	PROTEIN
g14920.t1	g14920.t1	78	PROTEIN
g14921.t1	g14921.t1	216	PROTEIN
g14922.t1	g14922.t1	76	PROTEIN
g14923.t3	g14923.t3	194	PROTEIN
g14924.t1	g14924.t1	138	PROTEIN
g14925.t1	g14925.t1	137	PROTEIN
g14926.t1	g14926.t1	625	PROTEIN
g14927.t1	g14927.t1	266	PROTEIN
g14928.t1	g14928.t1	492	PROTEIN
g14929.t1	g14929.t1	287	PROTEIN
g14930.t1	g14930.t1	614	PROTEIN
g14931.t1	g14931.t1	606	PROTEIN
g14932.t1	g14932.t1	195	PROTEIN
g14933.t1	g14933.t1	100	PROTEIN
g14934.t1	g14934.t1	386	PROTEIN
g14935.t1	g14935.t1	439	PROTEIN
g14936.t1	g14936.t1	944	PROTEIN
g14937.t1	g14937.t1	1120	PROTEIN
g14938.t1	g14938.t1	157	PROTEIN
g14939.t1	g14939.t1	244	PROTEIN
g14940.t1	g14940.t1	1089	PROTEIN
g14941.t1	g14941.t1	108	PROTEIN
g14942.t1	g14942.t1	55	PROTEIN
g14943.t1	g14943.t1	176	PROTEIN
g14944.t1	g14944.t1	235	PROTEIN
g14945.t2	g14945.t2	316	PROTEIN
g14946.t1	g14946.t1	462	PROTEIN
g14947.t1	g14947.t1	2706	PROTEIN
g14948.t1	g14948.t1	1751	PROTEIN
g14949.t1	g14949.t1	138	PROTEIN
g14950.t1	g14950.t1	434	PROTEIN
g14951.t1	g14951.t1	1970	PROTEIN
g14952.t1	g14952.t1	306	PROTEIN
g14953.t1	g14953.t1	395	PROTEIN
g14954.t1	g14954.t1	352	PROTEIN
g14955.t1	g14955.t1	641	PROTEIN
g14956.t1	g14956.t1	75	PROTEIN
g14957.t1	g14957.t1	337	PROTEIN
g14958.t1	g14958.t1	322	PROTEIN
g14959.t1	g14959.t1	119	PROTEIN
g14960.t1	g14960.t1	116	PROTEIN
g14961.t1	g14961.t1	121	PROTEIN
g14962.t1	g14962.t1	113	PROTEIN
g14963.t1	g14963.t1	119	PROTEIN
g14964.t1	g14964.t1	116	PROTEIN
g14965.t1	g14965.t1	327	PROTEIN
g14966.t1	g14966.t1	512	PROTEIN
g14967.t1	g14967.t1	658	PROTEIN
g14968.t1	g14968.t1	1241	PROTEIN
g14969.t1	g14969.t1	1260	PROTEIN
g14970.t1	g14970.t1	100	PROTEIN
g14971.t1	g14971.t1	108	PROTEIN
g14972.t1	g14972.t1	145	PROTEIN
g14973.t1	g14973.t1	111	PROTEIN
g14974.t1	g14974.t1	163	PROTEIN
g14975.t2	g14975.t2	170	PROTEIN
g14976.t1	g14976.t1	365	PROTEIN
g14977.t1	g14977.t1	276	PROTEIN
g14978.t1	g14978.t1	163	PROTEIN
g14979.t1	g14979.t1	91	PROTEIN
g14980.t1	g14980.t1	203	PROTEIN
g14981.t1	g14981.t1	81	PROTEIN
g14982.t1	g14982.t1	41	PROTEIN
g14983.t1	g14983.t1	180	PROTEIN
g14984.t1	g14984.t1	472	PROTEIN
g14985.t1	g14985.t1	172	PROTEIN
g14986.t1	g14986.t1	159	PROTEIN
g14987.t1	g14987.t1	99	PROTEIN
g14988.t1	g14988.t1	88	PROTEIN
g14989.t1	g14989.t1	1084	PROTEIN
g14990.t1	g14990.t1	63	PROTEIN
g14991.t1	g14991.t1	325	PROTEIN
g14992.t1	g14992.t1	120	PROTEIN
g14993.t1	g14993.t1	274	PROTEIN
g14994.t1	g14994.t1	205	PROTEIN
g14995.t1	g14995.t1	103	PROTEIN
g14996.t1	g14996.t1	85	PROTEIN
g14997.t1	g14997.t1	869	PROTEIN
g14998.t1	g14998.t1	209	PROTEIN
g14999.t1	g14999.t1	132	PROTEIN
g15000.t1	g15000.t1	143	PROTEIN
g15001.t1	g15001.t1	234	PROTEIN
g15002.t1	g15002.t1	217	PROTEIN
g15003.t1	g15003.t1	1289	PROTEIN
g15004.t1	g15004.t1	340	PROTEIN
g15005.t2	g15005.t2	196	PROTEIN
g15006.t1	g15006.t1	150	PROTEIN
g15007.t1	g15007.t1	206	PROTEIN
g15008.t1	g15008.t1	45	PROTEIN
g15009.t1	g15009.t1	113	PROTEIN
g15010.t1	g15010.t1	54	PROTEIN
g15011.t3	g15011.t3	1123	PROTEIN
g15012.t1	g15012.t1	205	PROTEIN
g15013.t1	g15013.t1	377	PROTEIN
g15014.t1	g15014.t1	95	PROTEIN
g15015.t1	g15015.t1	366	PROTEIN
g15016.t1	g15016.t1	384	PROTEIN
g15017.t1	g15017.t1	372	PROTEIN
g15018.t1	g15018.t1	164	PROTEIN
g15019.t1	g15019.t1	181	PROTEIN
g15020.t1	g15020.t1	417	PROTEIN
g15021.t1	g15021.t1	252	PROTEIN
g15022.t1	g15022.t1	266	PROTEIN
g15023.t1	g15023.t1	374	PROTEIN
g15024.t1	g15024.t1	3652	PROTEIN
g15025.t1	g15025.t1	580	PROTEIN
g15026.t1	g15026.t1	267	PROTEIN
g15027.t1	g15027.t1	377	PROTEIN
g15028.t1	g15028.t1	440	PROTEIN
g15029.t1	g15029.t1	528	PROTEIN
g15030.t1	g15030.t1	327	PROTEIN
g15031.t1	g15031.t1	67	PROTEIN
g15032.t2	g15032.t2	239	PROTEIN
g15033.t1	g15033.t1	317	PROTEIN
g15034.t1	g15034.t1	162	PROTEIN
g15035.t1	g15035.t1	1249	PROTEIN
g15036.t1	g15036.t1	164	PROTEIN
g15037.t1	g15037.t1	1674	PROTEIN
g15038.t1	g15038.t1	149	PROTEIN
g15039.t1	g15039.t1	544	PROTEIN
g15040.t1	g15040.t1	308	PROTEIN
g15041.t1	g15041.t1	558	PROTEIN
g15042.t1	g15042.t1	125	PROTEIN
g15043.t1	g15043.t1	994	PROTEIN
g15044.t1	g15044.t1	351	PROTEIN
g15045.t1	g15045.t1	125	PROTEIN
g15046.t1	g15046.t1	245	PROTEIN
g15047.t1	g15047.t1	79	PROTEIN
g15048.t1	g15048.t1	260	PROTEIN
g15049.t1	g15049.t1	36	PROTEIN
g15050.t1	g15050.t1	540	PROTEIN
g15051.t1	g15051.t1	133	PROTEIN
g15052.t1	g15052.t1	107	PROTEIN
g15053.t1	g15053.t1	524	PROTEIN
g15054.t1	g15054.t1	57	PROTEIN
g15055.t1	g15055.t1	71	PROTEIN
g15056.t1	g15056.t1	110	PROTEIN
g15057.t1	g15057.t1	165	PROTEIN
g15058.t1	g15058.t1	460	PROTEIN
g15059.t1	g15059.t1	233	PROTEIN
g15060.t1	g15060.t1	929	PROTEIN
g15061.t1	g15061.t1	936	PROTEIN
g15062.t1	g15062.t1	103	PROTEIN
g15063.t1	g15063.t1	774	PROTEIN
g15064.t1	g15064.t1	125	PROTEIN
g15065.t1	g15065.t1	588	PROTEIN
g15066.t1	g15066.t1	176	PROTEIN
g15067.t1	g15067.t1	117	PROTEIN
g15068.t1	g15068.t1	461	PROTEIN
g15069.t1	g15069.t1	1325	PROTEIN
g15070.t1	g15070.t1	242	PROTEIN
g15071.t1	g15071.t1	94	PROTEIN
g15072.t1	g15072.t1	121	PROTEIN
g15073.t1	g15073.t1	106	PROTEIN
g15074.t1	g15074.t1	451	PROTEIN
g15075.t1	g15075.t1	203	PROTEIN
g15076.t1	g15076.t1	356	PROTEIN
g15077.t1	g15077.t1	722	PROTEIN
g15078.t1	g15078.t1	307	PROTEIN
g15079.t1	g15079.t1	106	PROTEIN
g15080.t1	g15080.t1	74	PROTEIN
g15081.t1	g15081.t1	74	PROTEIN
g15082.t1	g15082.t1	371	PROTEIN
g15083.t1	g15083.t1	88	PROTEIN
g15084.t1	g15084.t1	130	PROTEIN
g15085.t1	g15085.t1	104	PROTEIN
g15086.t1	g15086.t1	339	PROTEIN
g15087.t1	g15087.t1	635	PROTEIN
g15088.t1	g15088.t1	312	PROTEIN
g15089.t1	g15089.t1	142	PROTEIN
g15090.t1	g15090.t1	215	PROTEIN
g15091.t1	g15091.t1	263	PROTEIN
g15092.t1	g15092.t1	272	PROTEIN
g15093.t1	g15093.t1	92	PROTEIN
g15094.t1	g15094.t1	140	PROTEIN
g15095.t1	g15095.t1	115	PROTEIN
g15096.t1	g15096.t1	88	PROTEIN
g15097.t1	g15097.t1	135	PROTEIN
g15098.t1	g15098.t1	105	PROTEIN
g15099.t1	g15099.t1	173	PROTEIN
g15100.t1	g15100.t1	275	PROTEIN
g15101.t1	g15101.t1	376	PROTEIN
g15102.t1	g15102.t1	167	PROTEIN
g15103.t1	g15103.t1	295	PROTEIN
g15104.t1	g15104.t1	120	PROTEIN
g15105.t2	g15105.t2	377	PROTEIN
g15106.t1	g15106.t1	76	PROTEIN
g15107.t1	g15107.t1	167	PROTEIN
g15108.t1	g15108.t1	131	PROTEIN
g15109.t1	g15109.t1	164	PROTEIN
g15110.t1	g15110.t1	237	PROTEIN
g15111.t1	g15111.t1	245	PROTEIN
g15112.t1	g15112.t1	261	PROTEIN
g15113.t1	g15113.t1	241	PROTEIN
g15114.t1	g15114.t1	398	PROTEIN
g15115.t1	g15115.t1	778	PROTEIN
g15116.t1	g15116.t1	166	PROTEIN
g15117.t1	g15117.t1	354	PROTEIN
g15118.t1	g15118.t1	354	PROTEIN
g15119.t1	g15119.t1	233	PROTEIN
g15120.t1	g15120.t1	393	PROTEIN
g15121.t1	g15121.t1	333	PROTEIN
g15122.t1	g15122.t1	150	PROTEIN
g15123.t1	g15123.t1	83	PROTEIN
g15124.t1	g15124.t1	205	PROTEIN
g15125.t1	g15125.t1	789	PROTEIN
g15126.t1	g15126.t1	258	PROTEIN
g15127.t1	g15127.t1	86	PROTEIN
g15128.t1	g15128.t1	92	PROTEIN
g15129.t1	g15129.t1	107	PROTEIN
g15130.t1	g15130.t1	113	PROTEIN
g15131.t1	g15131.t1	101	PROTEIN
g15132.t1	g15132.t1	275	PROTEIN
g15133.t1	g15133.t1	238	PROTEIN
g15134.t1	g15134.t1	43	PROTEIN
g15135.t1	g15135.t1	148	PROTEIN
g15136.t1	g15136.t1	90	PROTEIN
g15137.t1	g15137.t1	80	PROTEIN
g15138.t1	g15138.t1	104	PROTEIN
g15139.t1	g15139.t1	148	PROTEIN
g15140.t1	g15140.t1	90	PROTEIN
g15141.t1	g15141.t1	219	PROTEIN
g15142.t1	g15142.t1	117	PROTEIN
g15143.t1	g15143.t1	96	PROTEIN
g15144.t1	g15144.t1	81	PROTEIN
g15145.t1	g15145.t1	172	PROTEIN
g15146.t1	g15146.t1	97	PROTEIN
g15147.t1	g15147.t1	152	PROTEIN
g15148.t1	g15148.t1	190	PROTEIN
g15149.t1	g15149.t1	260	PROTEIN
g15150.t1	g15150.t1	83	PROTEIN
g15151.t1	g15151.t1	154	PROTEIN
g15152.t1	g15152.t1	177	PROTEIN
g15153.t1	g15153.t1	429	PROTEIN
g15154.t1	g15154.t1	99	PROTEIN
g15155.t1	g15155.t1	858	PROTEIN
g15156.t1	g15156.t1	171	PROTEIN
g15157.t1	g15157.t1	84	PROTEIN
g15158.t1	g15158.t1	124	PROTEIN
g15159.t1	g15159.t1	243	PROTEIN
g15160.t1	g15160.t1	1858	PROTEIN
g15161.t1	g15161.t1	102	PROTEIN
g15162.t1	g15162.t1	95	PROTEIN
g15163.t1	g15163.t1	85	PROTEIN
g15164.t1	g15164.t1	162	PROTEIN
g15165.t1	g15165.t1	172	PROTEIN
g15166.t1	g15166.t1	935	PROTEIN
g15167.t1	g15167.t1	394	PROTEIN
g15168.t1	g15168.t1	118	PROTEIN
g15169.t1	g15169.t1	306	PROTEIN
g15170.t1	g15170.t1	91	PROTEIN
g15171.t1	g15171.t1	179	PROTEIN
g15172.t1	g15172.t1	95	PROTEIN
g15173.t1	g15173.t1	437	PROTEIN
g15174.t1	g15174.t1	86	PROTEIN
g15175.t1	g15175.t1	258	PROTEIN
g15176.t1	g15176.t1	548	PROTEIN
g15177.t1	g15177.t1	209	PROTEIN
g15178.t1	g15178.t1	473	PROTEIN
g15179.t1	g15179.t1	490	PROTEIN
g15180.t1	g15180.t1	122	PROTEIN
g15181.t1	g15181.t1	393	PROTEIN
g15182.t1	g15182.t1	86	PROTEIN
g15183.t1	g15183.t1	117	PROTEIN
g15184.t1	g15184.t1	439	PROTEIN
g15185.t1	g15185.t1	130	PROTEIN
g15186.t1	g15186.t1	253	PROTEIN
g15187.t1	g15187.t1	142	PROTEIN
g15188.t1	g15188.t1	832	PROTEIN
g15189.t1	g15189.t1	660	PROTEIN
g15190.t1	g15190.t1	54	PROTEIN
g15191.t1	g15191.t1	305	PROTEIN
g15192.t1	g15192.t1	351	PROTEIN
g15193.t1	g15193.t1	403	PROTEIN
g15194.t1	g15194.t1	87	PROTEIN
g15195.t1	g15195.t1	83	PROTEIN
g15196.t1	g15196.t1	110	PROTEIN
g15197.t1	g15197.t1	311	PROTEIN
g15198.t1	g15198.t1	196	PROTEIN
g15199.t1	g15199.t1	696	PROTEIN
g15200.t1	g15200.t1	529	PROTEIN
g15201.t1	g15201.t1	67	PROTEIN
g15202.t1	g15202.t1	983	PROTEIN
g15203.t1	g15203.t1	542	PROTEIN
g15204.t1	g15204.t1	165	PROTEIN
g15205.t1	g15205.t1	299	PROTEIN
g15206.t1	g15206.t1	298	PROTEIN
g15207.t1	g15207.t1	383	PROTEIN
g15208.t1	g15208.t1	481	PROTEIN
g15209.t1	g15209.t1	480	PROTEIN
g15210.t1	g15210.t1	140	PROTEIN
g15211.t1	g15211.t1	403	PROTEIN
g15212.t1	g15212.t1	245	PROTEIN
g15213.t1	g15213.t1	364	PROTEIN
g15214.t2	g15214.t2	1610	PROTEIN
g15215.t1	g15215.t1	193	PROTEIN
g15216.t1	g15216.t1	176	PROTEIN
g15217.t1	g15217.t1	297	PROTEIN
g15218.t1	g15218.t1	220	PROTEIN
g15219.t1	g15219.t1	114	PROTEIN
g15220.t1	g15220.t1	263	PROTEIN
g15221.t1	g15221.t1	183	PROTEIN
g15222.t1	g15222.t1	315	PROTEIN
g15223.t1	g15223.t1	1553	PROTEIN
g15224.t1	g15224.t1	468	PROTEIN
g15225.t1	g15225.t1	122	PROTEIN
g15226.t1	g15226.t1	400	PROTEIN
g15227.t1	g15227.t1	112	PROTEIN
g15228.t1	g15228.t1	150	PROTEIN
g15229.t1	g15229.t1	117	PROTEIN
g15230.t1	g15230.t1	161	PROTEIN
g15231.t1	g15231.t1	144	PROTEIN
g15232.t1	g15232.t1	106	PROTEIN
g15233.t1	g15233.t1	119	PROTEIN
g15234.t1	g15234.t1	272	PROTEIN
g15235.t1	g15235.t1	213	PROTEIN
g15236.t1	g15236.t1	408	PROTEIN
g15237.t1	g15237.t1	254	PROTEIN
g15238.t1	g15238.t1	223	PROTEIN
g15239.t1	g15239.t1	132	PROTEIN
g15240.t1	g15240.t1	120	PROTEIN
g15241.t1	g15241.t1	86	PROTEIN
g15242.t1	g15242.t1	220	PROTEIN
g15243.t1	g15243.t1	193	PROTEIN
g15244.t1	g15244.t1	678	PROTEIN
g15245.t1	g15245.t1	496	PROTEIN
g15246.t1	g15246.t1	1368	PROTEIN
g15247.t1	g15247.t1	87	PROTEIN
g15248.t1	g15248.t1	80	PROTEIN
g15249.t1	g15249.t1	217	PROTEIN
g15250.t1	g15250.t1	326	PROTEIN
g15251.t1	g15251.t1	235	PROTEIN
g15252.t1	g15252.t1	305	PROTEIN
g15253.t1	g15253.t1	87	PROTEIN
g15254.t1	g15254.t1	468	PROTEIN
g15255.t1	g15255.t1	810	PROTEIN
g15256.t1	g15256.t1	303	PROTEIN
g15257.t1	g15257.t1	241	PROTEIN
g15258.t1	g15258.t1	173	PROTEIN
g15259.t1	g15259.t1	78	PROTEIN
g15260.t1	g15260.t1	110	PROTEIN
g15261.t1	g15261.t1	107	PROTEIN
g15262.t1	g15262.t1	157	PROTEIN
g15263.t1	g15263.t1	96	PROTEIN
g15264.t1	g15264.t1	122	PROTEIN
g15265.t1	g15265.t1	537	PROTEIN
g15266.t1	g15266.t1	17	PROTEIN
g15267.t1	g15267.t1	291	PROTEIN
g15268.t1	g15268.t1	184	PROTEIN
g15269.t1	g15269.t1	85	PROTEIN
g15270.t1	g15270.t1	443	PROTEIN
g15271.t1	g15271.t1	174	PROTEIN
g15272.t1	g15272.t1	2440	PROTEIN
g15273.t1	g15273.t1	73	PROTEIN
g15274.t1	g15274.t1	127	PROTEIN
g15275.t1	g15275.t1	188	PROTEIN
g15276.t1	g15276.t1	135	PROTEIN
g15277.t1	g15277.t1	42	PROTEIN
g15278.t1	g15278.t1	393	PROTEIN
g15279.t1	g15279.t1	76	PROTEIN
g15280.t1	g15280.t1	81	PROTEIN
g15281.t1	g15281.t1	181	PROTEIN
g15282.t1	g15282.t1	2293	PROTEIN
g15283.t1	g15283.t1	1115	PROTEIN
g15284.t1	g15284.t1	50	PROTEIN
g15285.t1	g15285.t1	827	PROTEIN
g15286.t1	g15286.t1	89	PROTEIN
g15287.t1	g15287.t1	1472	PROTEIN
g15288.t1	g15288.t1	87	PROTEIN
g15289.t1	g15289.t1	85	PROTEIN
g15290.t1	g15290.t1	88	PROTEIN
g15291.t1	g15291.t1	122	PROTEIN
g15292.t1	g15292.t1	467	PROTEIN
g15293.t1	g15293.t1	74	PROTEIN
g15294.t1	g15294.t1	168	PROTEIN
g15295.t1	g15295.t1	126	PROTEIN
g15296.t1	g15296.t1	117	PROTEIN
g15297.t1	g15297.t1	105	PROTEIN
g15298.t1	g15298.t1	367	PROTEIN
g15299.t1	g15299.t1	463	PROTEIN
g15300.t3	g15300.t3	530	PROTEIN
g15301.t1	g15301.t1	86	PROTEIN
g15302.t1	g15302.t1	161	PROTEIN
g15303.t1	g15303.t1	485	PROTEIN
g15304.t1	g15304.t1	118	PROTEIN
g15305.t1	g15305.t1	155	PROTEIN
g15306.t1	g15306.t1	125	PROTEIN
g15307.t1	g15307.t1	462	PROTEIN
g15308.t1	g15308.t1	142	PROTEIN
g15309.t1	g15309.t1	43	PROTEIN
g15310.t1	g15310.t1	185	PROTEIN
g15311.t1	g15311.t1	107	PROTEIN
g15312.t1	g15312.t1	654	PROTEIN
g15313.t1	g15313.t1	629	PROTEIN
g15314.t1	g15314.t1	125	PROTEIN
g15315.t1	g15315.t1	438	PROTEIN
g15316.t1	g15316.t1	92	PROTEIN
g15317.t1	g15317.t1	697	PROTEIN
g15318.t1	g15318.t1	199	PROTEIN
g15319.t1	g15319.t1	294	PROTEIN
g15320.t1	g15320.t1	169	PROTEIN
g15321.t1	g15321.t1	91	PROTEIN
g15322.t1	g15322.t1	117	PROTEIN
g15323.t1	g15323.t1	474	PROTEIN
g15324.t1	g15324.t1	235	PROTEIN
g15325.t1	g15325.t1	514	PROTEIN
g15326.t1	g15326.t1	117	PROTEIN
g15327.t1	g15327.t1	87	PROTEIN
g15328.t1	g15328.t1	629	PROTEIN
g15329.t2	g15329.t2	890	PROTEIN
g15330.t1	g15330.t1	140	PROTEIN
g15331.t1	g15331.t1	1123	PROTEIN
g15332.t1	g15332.t1	376	PROTEIN
g15333.t1	g15333.t1	146	PROTEIN
g15334.t1	g15334.t1	232	PROTEIN
g15335.t2	g15335.t2	488	PROTEIN
g15336.t1	g15336.t1	178	PROTEIN
g15337.t1	g15337.t1	223	PROTEIN
g15338.t1	g15338.t1	230	PROTEIN
g15339.t1	g15339.t1	175	PROTEIN
g15340.t1	g15340.t1	181	PROTEIN
g15341.t1	g15341.t1	248	PROTEIN
g15342.t1	g15342.t1	252	PROTEIN
g15343.t1	g15343.t1	664	PROTEIN
g15344.t1	g15344.t1	67	PROTEIN
g15345.t1	g15345.t1	109	PROTEIN
g15346.t1	g15346.t1	135	PROTEIN
g15347.t1	g15347.t1	134	PROTEIN
g15348.t1	g15348.t1	169	PROTEIN
g15349.t1	g15349.t1	74	PROTEIN
g15350.t1	g15350.t1	137	PROTEIN
g15351.t1	g15351.t1	114	PROTEIN
g15352.t1	g15352.t1	129	PROTEIN
g15353.t1	g15353.t1	72	PROTEIN
g15354.t1	g15354.t1	45	PROTEIN
g15355.t1	g15355.t1	104	PROTEIN
g15356.t1	g15356.t1	109	PROTEIN
g15357.t1	g15357.t1	133	PROTEIN
g15358.t1	g15358.t1	109	PROTEIN
g15359.t1	g15359.t1	89	PROTEIN
g15360.t1	g15360.t1	110	PROTEIN
g15361.t1	g15361.t1	1111	PROTEIN
g15362.t1	g15362.t1	190	PROTEIN
g15363.t1	g15363.t1	219	PROTEIN
g15364.t2	g15364.t2	103	PROTEIN
g15365.t1	g15365.t1	112	PROTEIN
g15366.t1	g15366.t1	339	PROTEIN
g15367.t1	g15367.t1	192	PROTEIN
g15368.t1	g15368.t1	712	PROTEIN
g15369.t1	g15369.t1	350	PROTEIN
g15370.t1	g15370.t1	512	PROTEIN
g15371.t1	g15371.t1	158	PROTEIN
g15372.t1	g15372.t1	141	PROTEIN
g15373.t1	g15373.t1	418	PROTEIN
g15374.t1	g15374.t1	453	PROTEIN
g15375.t1	g15375.t1	1022	PROTEIN
g15376.t2	g15376.t2	1451	PROTEIN
g15377.t1	g15377.t1	186	PROTEIN
g15378.t1	g15378.t1	265	PROTEIN
g15379.t1	g15379.t1	87	PROTEIN
g15380.t1	g15380.t1	259	PROTEIN
g15381.t1	g15381.t1	259	PROTEIN
g15382.t1	g15382.t1	51	PROTEIN
g15383.t1	g15383.t1	102	PROTEIN
g15384.t1	g15384.t1	114	PROTEIN
g15385.t1	g15385.t1	434	PROTEIN
g15386.t1	g15386.t1	418	PROTEIN
g15387.t1	g15387.t1	395	PROTEIN
g15388.t1	g15388.t1	82	PROTEIN
g15389.t1	g15389.t1	245	PROTEIN
g15390.t1	g15390.t1	315	PROTEIN
g15391.t1	g15391.t1	247	PROTEIN
g15392.t3	g15392.t3	1817	PROTEIN
g15393.t1	g15393.t1	180	PROTEIN
g15394.t1	g15394.t1	774	PROTEIN
g15395.t1	g15395.t1	78	PROTEIN
g15396.t1	g15396.t1	873	PROTEIN
g15397.t1	g15397.t1	178	PROTEIN
g15398.t1	g15398.t1	340	PROTEIN
g15399.t1	g15399.t1	41	PROTEIN
g15400.t1	g15400.t1	410	PROTEIN
g15401.t1	g15401.t1	127	PROTEIN
g15402.t1	g15402.t1	380	PROTEIN
g15403.t1	g15403.t1	385	PROTEIN
g15404.t1	g15404.t1	414	PROTEIN
g15405.t1	g15405.t1	89	PROTEIN
g15406.t1	g15406.t1	723	PROTEIN
g15407.t1	g15407.t1	550	PROTEIN
g15408.t1	g15408.t1	506	PROTEIN
g15409.t1	g15409.t1	284	PROTEIN
g15410.t1	g15410.t1	194	PROTEIN
g15411.t1	g15411.t1	106	PROTEIN
g15412.t1	g15412.t1	78	PROTEIN
g15413.t1	g15413.t1	691	PROTEIN
g15414.t1	g15414.t1	77	PROTEIN
g15415.t1	g15415.t1	444	PROTEIN
g15416.t1	g15416.t1	501	PROTEIN
