rank	gene_id	protein_id	protein_length_aa	gene_family	phylogenetic_group	best_hit_accession	best_hit_species	pfam_domains	interpro_domains	functional_annotation	target_class	evalue	identity_pct	query_coverage_pct	phylogenetic_evidence	Larva_TPM	Adult_TPM	Pupa_TPM	Egg_TPM	larva_expression_score	adult_expression_score	pupa_expression_score	egg_expression_score	Larva_expression	rnai_or_chemistry	justification
34	g14449	g14449.t1	436	Neurotransmitter-gated ion-channel ligand-binding domain superfamily	Supported phylogenetic placement (UFBoot 92%; SH-aLRT 94%)	A0A4C1U540	Eumeta variegata	PF02931	IPR036734;IPR006201;IPR006202;IPR036719;IPR038050	Neurotransmitter-gated ion-channel ligand-binding domain superfamily associated with insect neuronal signalling and physiological regulation	TARGET-SITE	0.0	79.71	95.0	MAFFT + trimAl + IQ-TREE; model=Q.PLANT+G4; UFBoot=92.00%; SH-aLRT=94.20%	219.6557715	384.49142	73.514388	28.886993	57.13	100.0	19.12	7.51	Very High	RNAi	The candidate is annotated as Neurotransmitter-gated ion-channel ligand-binding domain superfamily associated with insect neuronal signalling and physiological regulation, consistent with a receptor or ion-channel function. RNA expression is detectable across stages (Larva TPM 219.7, Adult 384.5, Pupa 73.5, Egg 28.9). RNAi disruption could alter neuronal signalling or other physiological processes controlled by the target. The exact phenotype depends on the protein's biological role and requires experimental validation.
35	g3431	g3431.t1	715	Peptidase M24, C-terminal domain	Supported phylogenetic placement (UFBoot 87%; SH-aLRT 83%)	A0A4C1Y2D1	Eumeta variegata	PF16188;PF00557;PF01321;PF16189	IPR032416;IPR050422;IPR036005;IPR029149;IPR000994;IPR033740;IPR000587	Xaa-Pro aminopeptidase 1 in insect biological processes	DIGESTION	0.0	77.507	99.0	MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=86.62%; SH-aLRT=82.61%	18.862436	0.573551	0.158385	0.609415	100.0	3.04	0.84	3.23	High	RNAi	The candidate is associated with Xaa-Pro aminopeptidase 1 in insect biological processes and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 18.9 versus Adult 0.6, Pupa 0.2, and Egg 0.6). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
36	g3411	g3411.t1	91	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 89%; SH-aLRT 85%)	A0A4C1T8G7	Eumeta variegata	PF00089	IPR001254;IPR009003;IPR018114	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	1.47e-42	81.111	99.0	MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=88.88%; SH-aLRT=84.56%	7.682689	0.087939	0.0	0.0	100.0	1.14	0.0	0.0	Moderate	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 7.7 versus Adult 0.1, Pupa 0.0, and Egg 0.0). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
37	g2844	g2844.t1	408	Lipase	Supported phylogenetic placement (UFBoot 83%; SH-aLRT 84%)	A0A4C1YXT1	Eumeta variegata	PF04083	IPR029058;IPR025483;IPR006693	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	0.0	79.167	100.0	MAFFT + trimAl + IQ-TREE; model=LG+I+G4; UFBoot=83.38%; SH-aLRT=84.46%	9.2033505	0.892496	0.0	0.393548	100.0	9.7	0.0	4.28	Moderate	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 9.2 versus Adult 0.9, Pupa 0.0, and Egg 0.4). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
38	g2865	g2865.t1	171	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 96%; SH-aLRT 96%)	A0A4C1SF71	Eumeta variegata	PF00089	IPR001254;IPR009003;IPR018114;IPR001314	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	1.0400000000000001e-88	70.466	92.0	MAFFT + trimAl + IQ-TREE; model=WAG+G4; UFBoot=96.50%; SH-aLRT=96.26%	6.072286999999999	0.0	0.0	0.0	100.0	0.0	0.0	0.0	Moderate	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 6.1 versus Adult 0.0, Pupa 0.0, and Egg 0.0). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
39	g1470	g1470.t1	1346	Chitin binding domain	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 83%)	A0A4C1ZKB9	Eumeta variegata	PF01607	IPR002557;IPR051940;IPR036508	Probable chitinase 10 in insect biological processes		0.0	62.115	97.0	MAFFT + trimAl + IQ-TREE; model=WAG+F+G4; UFBoot=89.57%; SH-aLRT=83.26%	1346.327038	31.031147	0.783397	2.605823	100.0	2.3	0.06	0.19	Very High	RNAi	The candidate is annotated as Probable chitinase 10 in insect biological processes with supporting sequence and functional evidence. RNA expression is strongly larva-biased (Larva TPM 1346.3 versus Adult 31.0, Pupa 0.8, and Egg 2.6). The phylogenetic analysis provides supported phylogenetic placement (ufboot 90%; sh-alrt 83%). The biological effect of RNAi remains to be confirmed experimentally.
40	g15563	g15563.t1	430	Peptidase M14, carboxypeptidase A	Supported phylogenetic placement (UFBoot 73%; SH-aLRT 78%)	A0A4C1SUH7	Eumeta variegata	PF02244;PF00246	IPR000834;IPR036990;IPR003146;IPR057246	Carboxypeptidase B in insect biological processes during normal insect development	DIGESTION	0.0	88.372	100.0	MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=72.75%; SH-aLRT=77.76%	12.865443	0.337475	0.0	0.0	100.0	2.62	0.0	0.0	High	RNAi	The candidate is associated with Carboxypeptidase B in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 12.9 versus Adult 0.3, Pupa 0.0, and Egg 0.0). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
41	g18260	g18260.t1	748	Ankyrin repeat	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 86%)	A0A4C1XRM5	Eumeta variegata	PF12796;PF00520	IPR002110;IPR036770;IPR052076;IPR005821	Ankyrin repeat associated with insect neuronal signalling and physiological regulation	TARGET-SITE	0.0	90.642	100.0	MAFFT + trimAl + IQ-TREE; model=Q.INSECT+G4; UFBoot=90.12%; SH-aLRT=85.75%	9.222433	5.123915	1.390251	1.394308	100.0	55.56	15.07	15.12	Moderate	RNAi	The candidate is annotated as Ankyrin repeat associated with insect neuronal signalling and physiological regulation, consistent with a receptor or ion-channel function. RNA expression is highest in larvae (Larva TPM 9.2; Adult 5.1, Pupa 1.4, Egg 1.4). RNAi disruption could alter neuronal signalling or other physiological processes controlled by the target. The exact phenotype depends on the protein's biological role and requires experimental validation.
42	g15566	g15566.t1	414	Metallocarboxypeptidase-like, propeptide	Supported phylogenetic placement (UFBoot 82%; SH-aLRT 86%)	A0A4C1SSS2	Eumeta variegata	PF00246;PF02244	IPR036990;IPR000834;IPR003146	Carboxypeptidase A2 in insect biological processes during normal insect development	DIGESTION	0.0	80.288	100.0	MAFFT + trimAl + IQ-TREE; model=Q.PLANT+G4; UFBoot=81.62%; SH-aLRT=85.96%	9.3208095	0.06196	0.0	0.073287	100.0	0.66	0.0	0.79	Moderate	RNAi	The candidate is associated with Carboxypeptidase A2 in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 9.3 versus Adult 0.1, Pupa 0.0, and Egg 0.1). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
43	g6035	g6035.t1	675	Peptidase M2, peptidyl-dipeptidase A	Supported phylogenetic placement (UFBoot 88%; SH-aLRT 83%)	A0A4C1TW98	Eumeta variegata	PF01401	IPR001548	Angiotensin-converting enzyme in insect biological processes during normal insect development	DIGESTION	0.0	87.963	92.0	MAFFT + trimAl + IQ-TREE; model=LG+G4; UFBoot=87.62%; SH-aLRT=83.47%	12.5875095	1.134891	0.228325	0.079859	100.0	9.02	1.81	0.63	High	RNAi	The candidate is associated with Angiotensin-converting enzyme in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 12.6 versus Adult 1.1, Pupa 0.2, and Egg 0.1). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
44	g3537	g3537.t1	396	Serine protease	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 86%)	A0A4C1Z4C9	Eumeta variegata	PF00079	IPR042185;IPR042178;IPR000215;IPR023795;IPR023796;IPR036186	Protease inhibitor regulating proteolytic activity within insect physiological processes	DIGESTION	0.0	81.061	100.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+G4; UFBoot=90.38%; SH-aLRT=85.99%	164.813174	77.484918	134.724535	125.864738	100.0	47.01	81.74	76.37	Very High	RNAi	The candidate is associated with Protease inhibitor regulating proteolytic activity within insect physiological processes and is predicted to contribute to digestive function. RNA expression is highest in larvae (Larva TPM 164.8; Adult 77.5, Pupa 134.7, Egg 125.9). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
45	g13780	g13780.t1	178	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 85%; SH-aLRT 83%)	A0A4C1WHH1	Eumeta variegata	PF00089	IPR018114;IPR001254;IPR009003	Trypsin-like serine protease involved in larval dietary protein digestion	DIGESTION	1.79e-67	74.534	90.0	MAFFT + trimAl + IQ-TREE; model=WAG+F+G4; UFBoot=85.00%; SH-aLRT=83.31%	6.6333025	0.253526	0.882648	0.0	100.0	3.82	13.31	0.0	Moderate	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 6.6 versus Adult 0.3, Pupa 0.9, and Egg 0.0). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
46	g5153	g5153.t1	541	Peptidase M17, leucine aminopeptidase/peptidase B	Supported phylogenetic placement (UFBoot 93%; SH-aLRT 93%)	A0A4C1SWU5	Eumeta variegata	PF00883	IPR011356;IPR000819	Aminopeptidase W07G4.4 in insect biological processes during normal insect development	DIGESTION	0.0	87.016	95.0	MAFFT + trimAl + IQ-TREE; model=LG+F+G4; UFBoot=93.25%; SH-aLRT=93.01%	5.641657	0.183384	0.034121	0.1308	100.0	3.25	0.6	2.32	Moderate	RNAi	The candidate is associated with Aminopeptidase W07G4.4 in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 5.6 versus Adult 0.2, Pupa 0.0, and Egg 0.1). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
47	g14161	g14161.t1	437	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 95%; SH-aLRT 93%)	A0A4C1V3W7	Eumeta variegata	PF00089	IPR035976;IPR001254;IPR001314;IPR018114;IPR009003	Modular serine protease in insect biological processes	DIGESTION	0.0	80.822	100.0	MAFFT + trimAl + IQ-TREE; model=WAG+R3; UFBoot=94.88%; SH-aLRT=93.29%	6.449383	6.029226	2.111949	3.098402	100.0	93.49	32.75	48.04	Moderate	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is highest in larvae (Larva TPM 6.4; Adult 6.0, Pupa 2.1, Egg 3.1). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
48	g7361	g7361.t1	153	Chitin binding domain	Supported phylogenetic placement (UFBoot 78%; SH-aLRT 84%)	A0A4C1TWG3	Eumeta variegata	PF01607	IPR002557;IPR051940;IPR036508	Chitin-binding type-2 domain-containing protein in insect biological processes		2.82e-79	76.974	99.0	MAFFT + trimAl + IQ-TREE; model=DAYHOFF+I+G4; UFBoot=78.00%; SH-aLRT=84.50%	88.6604445	3.024985	0.096411	1.564905	100.0	3.41	0.11	1.77	High	RNAi	The candidate is annotated as Chitin-binding type-2 domain-containing protein in insect biological processes with supporting sequence and functional evidence. RNA expression is strongly larva-biased (Larva TPM 88.7 versus Adult 3.0, Pupa 0.1, and Egg 1.6). The phylogenetic analysis provides supported phylogenetic placement (ufboot 78%; sh-alrt 84%). The biological effect of RNAi remains to be confirmed experimentally.
49	g2100	g2100.t1	319	Triacylglycerol lipase	Supported phylogenetic placement (UFBoot 75%; SH-aLRT 85%)	A0A4C1SI89	Eumeta variegata	PF00151	IPR000734;IPR013818;IPR029058	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	0.0	87.898	98.0	MAFFT + trimAl + IQ-TREE; model=LG+G4; UFBoot=75.25%; SH-aLRT=85.00%	7.9381835	3.838732	6.485388	0.19137	100.0	48.36	81.7	2.41	Moderate	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is highest in larvae (Larva TPM 7.9; Adult 3.8, Pupa 6.5, Egg 0.2). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
50	g97	g97.t1	739	Peptidase M1, membrane alanine aminopeptidase	Supported phylogenetic placement (UFBoot 88%; SH-aLRT 86%)	A0A4C1W4H9	Eumeta variegata	PF01433;PF17900;PF11838	IPR014782;IPR045357;IPR042097;IPR001930;IPR024571;IPR034016;IPR050344;IPR027268	Aminopeptidase in insect biological processes during normal insect development	DIGESTION	0.0	86.024	99.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+I+G4; UFBoot=88.00%; SH-aLRT=85.62%	10.963767	2.649589	6.076364	1.469091	100.0	24.17	55.42	13.4	High	RNAi	The candidate is associated with Aminopeptidase in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is highest in larvae (Larva TPM 11.0; Adult 2.6, Pupa 6.1, Egg 1.5). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
51	g8856	g8856.t1	394	Serine protease	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 89%)	A0A4C1V0P1	Eumeta variegata	PF00079	IPR023796;IPR023795;IPR000215;IPR036186;IPR042185;IPR042178	Protease inhibitor regulating proteolytic activity within insect physiological processes	DIGESTION	0.0	75.35	91.0	MAFFT + trimAl + IQ-TREE; model=Q.PLANT+G4; UFBoot=89.75%; SH-aLRT=88.70%	128.368944	163.242752	99.576625	26.322084	78.64	100.0	61.0	16.12	Very High	RNAi	The candidate is associated with Protease inhibitor regulating proteolytic activity within insect physiological processes and is predicted to contribute to digestive function. RNA expression is detectable across stages (Larva TPM 128.4, Adult 163.2, Pupa 99.6, Egg 26.3). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
52	g16245	g16245.t1	423	Serine protease	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 85%)	A0A4C1Z3B3	Eumeta variegata	PF00079	IPR023796;IPR036186;IPR042185;IPR023795;IPR000215;IPR042178	Protease inhibitor regulating proteolytic activity within insect physiological processes	DIGESTION	0.0	66.274	100.0	MAFFT + trimAl + IQ-TREE; model=CPREV+G4; UFBoot=90.00%; SH-aLRT=85.04%	32.353282	23.56905	14.740628	2.127294	100.0	72.85	45.56	6.58	High	RNAi	The candidate is associated with Protease inhibitor regulating proteolytic activity within insect physiological processes and is predicted to contribute to digestive function. RNA expression is highest in larvae (Larva TPM 32.4; Adult 23.6, Pupa 14.7, Egg 2.1). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
53	g16796	g16796.t1	470	Peptidase S10, serine carboxypeptidase	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 94%)	A0ABR3HCD7	Loxostege sticticalis	PF00450	IPR001563;IPR029058;IPR018202;IPR033124	Carboxypeptidase in insect biological processes during normal insect development	DIGESTION	0.0	76.674	98.0	MAFFT + trimAl + IQ-TREE; model=CPREV+I+R2; UFBoot=90.12%; SH-aLRT=94.10%	108.2315455	185.58348	55.770814	226.023776	47.89	82.11	24.67	100.0	Very High	RNAi	The candidate is associated with Carboxypeptidase in insect biological processes during normal insect development and is predicted to contribute to digestive function. RNA expression is detectable across stages (Larva TPM 108.2, Adult 185.6, Pupa 55.8, Egg 226.0). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
54	g16392	g16392.t1	224	Glutathione transferase family	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 85%)	A0A4C1Z354	Eumeta variegata	PF13417;PF00043	IPR040079;IPR036282;IPR004045;IPR036249;IPR004046;IPR010987	Glutathione S-transferase 1 in insect biological processes		4.9e-126	75.446	100.0	MAFFT + trimAl + IQ-TREE; model=LG+I+G4; UFBoot=90.38%; SH-aLRT=85.31%	257.0171635	57.079851	26.147158	0.0	100.0	22.21	10.17	0.0	Very High	RNAi	The candidate is annotated as Glutathione S-transferase 1 in insect biological processes with supporting sequence and functional evidence. RNA expression is strongly larva-biased (Larva TPM 257.0 versus Adult 57.1, Pupa 26.1, and Egg 0.0). The phylogenetic analysis provides supported phylogenetic placement (ufboot 90%; sh-alrt 85%). The biological effect of RNAi remains to be confirmed experimentally.
55	g7468	g7468.t1	1038	Peptidase M4/M1, CTD superfamily	Supported phylogenetic placement (UFBoot 67%; SH-aLRT 71%)	A0A4C1W8E5	Eumeta variegata	PF11838;PF17900;PF01433	IPR027268;IPR050344;IPR024571;IPR045357;IPR042097;IPR014782	Membrane alanyl aminopeptidase in insect biological processes	DIGESTION	0.0	80.98	98.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+F+I+G4; UFBoot=67.00%; SH-aLRT=71.41%	8.287495999999999	1.736346	0.159032	0.285844	100.0	20.95	1.92	3.45	Moderate	RNAi	The candidate is associated with Membrane alanyl aminopeptidase in insect biological processes and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 8.3 versus Adult 1.7, Pupa 0.2, and Egg 0.3). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
56	g1541	g1541.t1	380	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 92%)	A0A4C1UM74	Eumeta variegata	PF12032;PF00089	IPR022700;IPR018114;IPR051487;IPR001254;IPR009003;IPR033116;IPR001314;IPR038565	CLIP domain-containing serine protease in insect biological processes	DIGESTION	0.0	83.646	98.0	MAFFT + trimAl + IQ-TREE; model=JTTDCMUT+G4; UFBoot=90.12%; SH-aLRT=91.89%	9.62788	22.143895	2.556578	1.479108	43.48	100.0	11.55	6.68	Moderate	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is detectable across stages (Larva TPM 9.6, Adult 22.1, Pupa 2.6, Egg 1.5). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
57	g10898	g10898.t1	454	Peptidase S10, serine carboxypeptidase	Supported phylogenetic placement (UFBoot 81%; SH-aLRT 87%)	A0A4C1U2C6	Eumeta variegata	PF00450	IPR001563;IPR029058	Retinoid-inducible serine carboxypeptidase in insect biological processes	DIGESTION	0.0	85.242	100.0	MAFFT + trimAl + IQ-TREE; model=CPREV+I+G4; UFBoot=80.62%; SH-aLRT=86.56%	3.974127	0.683291	0.548165	0.153452	100.0	17.19	13.79	3.86	Moderate	RNAi	The candidate is associated with Retinoid-inducible serine carboxypeptidase in insect biological processes and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 4.0 versus Adult 0.7, Pupa 0.5, and Egg 0.2). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
58	g3709	g3709.t1	360	Triacylglycerol lipase	Supported phylogenetic placement (UFBoot 86%; SH-aLRT 85%)	A0A4C1UDU1	Eumeta variegata	PF00151	IPR029058;IPR013818;IPR000734	Lipase involved in dietary lipid hydrolysis during larval feeding	DIGESTION	0.0	83.611	100.0	MAFFT + trimAl + IQ-TREE; model=LG+I+G4; UFBoot=85.62%; SH-aLRT=85.09%	1.183558	0.219319	0.055181	0.0	100.0	18.53	4.66	0.0	Moderate	RNAi	Lipases support hydrolysis of dietary lipids during larval feeding and nutrient acquisition. RNA expression is strongly larva-biased (Larva TPM 1.2 versus Adult 0.2, Pupa 0.1, and Egg 0.0). Knockdown could reduce the availability of fatty acids needed for energy production and cellular processes. This provides a plausible digestive vulnerability for RNAi-based control.
59	g4994	g4994.t1	153	Nucleoside diphosphate kinase	Supported phylogenetic placement (UFBoot 66%; SH-aLRT 66%)	A0A4C1VV52	Eumeta variegata	PF00334	IPR034907;IPR036850;IPR023005;IPR001564	Nucleoside diphosphate kinase in insect biological processes		3.86e-109	97.386	100.0	MAFFT + trimAl + IQ-TREE; model=CPREV+G4; UFBoot=66.25%; SH-aLRT=66.33%	8703.031348	4017.159674	2214.440843	7701.696418	100.0	46.16	25.44	88.49	Very High	RNAi	The candidate is annotated as Nucleoside diphosphate kinase in insect biological processes with supporting sequence and functional evidence. RNA expression is highest in larvae (Larva TPM 8703.0; Adult 4017.2, Pupa 2214.4, Egg 7701.7). The phylogenetic analysis provides supported phylogenetic placement (ufboot 66%; sh-alrt 66%). The biological effect of RNAi remains to be confirmed experimentally.
60	g2210	g2210.t1	394	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 76%; SH-aLRT 67%)	A0ABN8IKT8	Iphiclides podalirius	PF00089;PF00431	IPR001254;IPR000859;IPR035914;IPR001314;IPR009003;IPR018114	Venom serine protease 34 in insect biological processes	DIGESTION	3.7900000000000004e-179	60.925	99.0	MAFFT + trimAl + IQ-TREE; model=WAG+F+G4; UFBoot=76.50%; SH-aLRT=67.30%	5.8894405	0.761559	1.690614	0.129185	100.0	12.93	28.71	2.19	Moderate	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is strongly larva-biased (Larva TPM 5.9 versus Adult 0.8, Pupa 1.7, and Egg 0.1). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
61	g17097	g17097.t1	418	Protein kinase-like domain superfamily	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 89%)	A0A4C1YDZ7	Eumeta variegata	PF02958	IPR011009;IPR015897;IPR004119	CHK kinase-like domain-containing protein in insect biological processes		0.0	74.677	93.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+I+G4; UFBoot=89.75%; SH-aLRT=88.62%	46.5807945	4.12091	0.399505	0.0	100.0	8.85	0.86	0.0	High	RNAi	The candidate is annotated as CHK kinase-like domain-containing protein in insect biological processes with supporting sequence and functional evidence. RNA expression is strongly larva-biased (Larva TPM 46.6 versus Adult 4.1, Pupa 0.4, and Egg 0.0). The phylogenetic analysis provides supported phylogenetic placement (ufboot 90%; sh-alrt 89%). The biological effect of RNAi remains to be confirmed experimentally.
62	g4114	g4114.t1	226	Glutathione S-transferase, C-terminal-like	Supported phylogenetic placement (UFBoot 93%; SH-aLRT 91%)	A0A4C1Z8Z0	Eumeta variegata	PF13410;PF13417	IPR010987;IPR036249;IPR004045;IPR036282;IPR040079	Glutathione S-transferase 1 in insect biological processes		2.11e-140	79.646	100.0	MAFFT + trimAl + IQ-TREE; model=LG+G4; UFBoot=93.25%; SH-aLRT=91.44%	720.107534	575.011003	227.129596	90.865046	100.0	79.85	31.54	12.62	Very High	RNAi	The candidate is annotated as Glutathione S-transferase 1 in insect biological processes with supporting sequence and functional evidence. RNA expression is highest in larvae (Larva TPM 720.1; Adult 575.0, Pupa 227.1, Egg 90.9). The phylogenetic analysis provides supported phylogenetic placement (ufboot 93%; sh-alrt 91%). The biological effect of RNAi remains to be confirmed experimentally.
63	g3535	g3535.t1	429	Serine protease	Supported phylogenetic placement (UFBoot 84%; SH-aLRT 80%)	A0A4C1Z130	Eumeta variegata	PF00079	IPR042178;IPR000215;IPR036186;IPR023796;IPR042185	Protease inhibitor regulating proteolytic activity within insect physiological processes	DIGESTION	0.0	78.555	100.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+I+G4; UFBoot=83.62%; SH-aLRT=80.20%	77.4750165	211.017532	124.657795	130.482436	36.71	100.0	59.07	61.83	High	RNAi	The candidate is associated with Protease inhibitor regulating proteolytic activity within insect physiological processes and is predicted to contribute to digestive function. RNA expression is detectable across stages (Larva TPM 77.5, Adult 211.0, Pupa 124.7, Egg 130.5). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
64	g16240	g16240.t1	399	Serine protease	Supported phylogenetic placement (UFBoot 80%; SH-aLRT 76%)	A0A4C1ZIZ2	Eumeta variegata	PF00079	IPR023796;IPR036186;IPR042178;IPR000215;IPR042185	Protease inhibitor regulating proteolytic activity within insect physiological processes	DIGESTION	0.0	67.885	96.0	MAFFT + trimAl + IQ-TREE; model=Q.YEAST+G4; UFBoot=80.50%; SH-aLRT=76.17%	124.0467305	131.163631	38.156364	84.59652	94.57	100.0	29.09	64.5	Very High	RNAi	The candidate is associated with Protease inhibitor regulating proteolytic activity within insect physiological processes and is predicted to contribute to digestive function. RNA expression is detectable across stages (Larva TPM 124.0, Adult 131.2, Pupa 38.2, Egg 84.6). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
65	g3430	g3430.t1	320	Creatinase/Aminopeptidase P/Spt16, N-terminal	Supported phylogenetic placement (UFBoot 86%; SH-aLRT 82%)	A0A4C1Y2D1	Eumeta variegata	PF16189;PF01321	IPR029149;IPR050422;IPR000587	Xaa-Pro aminopeptidase 1 in insect biological processes	DIGESTION	0.0	83.735	100.0	MAFFT + trimAl + IQ-TREE; model=Q.PFAM+G4; UFBoot=86.38%; SH-aLRT=81.65%	2.7296985	0.420833	0.178394	0.0	100.0	15.42	6.54	0.0	Moderate	RNAi	The candidate is associated with Xaa-Pro aminopeptidase 1 in insect biological processes and is predicted to contribute to digestive function. RNA expression is strongly larva-biased (Larva TPM 2.7 versus Adult 0.4, Pupa 0.2, and Egg 0.0). Knockdown could reduce the corresponding digestive activity and limit nutrient acquisition during feeding. This provides a plausible RNAi mechanism, although functional redundancy should be considered.
66	g6292	g6292.t1	348	Trypsin / Peptidase S1	Supported phylogenetic placement (UFBoot 90%; SH-aLRT 91%)	A0A4C1SS19	Eumeta variegata	PF00089;PF12032	IPR009003;IPR001314;IPR001254;IPR022700;IPR038565;IPR033116;IPR051487;IPR018114	CLIP domain-containing serine protease in insect biological processes	DIGESTION	0.0	77.401	99.0	MAFFT + trimAl + IQ-TREE; model=JTTDCMUT+G4; UFBoot=90.12%; SH-aLRT=91.05%	8.2217775	19.98773	2.290557	13.242291	41.13	100.0	11.46	66.25	Moderate	RNAi	Trypsin-like serine proteases contribute to dietary protein digestion in feeding insect larvae. RNA expression is detectable across stages (Larva TPM 8.2, Adult 20.0, Pupa 2.3, Egg 13.2). Knockdown could reduce proteolytic capacity and limit amino-acid acquisition during feeding. This provides a plausible mechanism for impaired larval growth and development.
