gene_id	rank	final_score	decision	reason	sequence_length	best_hit_accession	best_hit_species	best_hit_taxid	best_hit_lineage	best_identity_pct	best_query_coverage_pct	best_evalue	best_bitscore	qualifying_hits	total_blast_hits	arthropod_fraction	bacterial_fraction	fungal_fraction	non_arthropod_eukaryote_fraction	other_prokaryote_fraction	taxonomy_classification	homology_score	taxonomy_score	annotation_score	interpro_score	target_class_score	functional_description	interpro_accessions	interpro_descriptions	pfam	panther	go_terms	functional_keywords	target_class	best_hit_description
g6561.t1	60	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	284	tr|A0ABM3MN31|A0ABM3MN31_GALME	Galleria mellonella	7137	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	89.007	99.0	0.0	528.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Dipeptidyl peptidase 3	IPR061912; IPR039461	Dipeptidyl peptidase 3; Peptidase family M49	PF03571; Peptidase family M49	PTHR23422; DIPEPTIDYL PEPTIDASE III-RELATED	GO:0005737(PANTHER)|GO:0008239(PANTHER)|GO:0008239(InterPro)	enzyme; digestion	DIGESTION	Dipeptidyl peptidase 3 OS=Galleria mellonella OX=7137 GN=LOC113511564 PE=3 SV=1
g19219.t1	61	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1277	tr|A0A9P0HWC0|A0A9P0HWC0_SPOLI	Spodoptera littoralis	7109	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	76.48	99.0	0.0	2016.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Phox homology	IPR001683; IPR001736; IPR036871; IPR016555; IPR015679; IPR011993	Phox homology; Phospholipase D/Transphosphatidylase; PX domain superfamily; Phospholipase D, eukaryotic type; Phospholipase D family; PH-like domain superfamily	PF00787; PX domain; PF00614; Phospholipase D	PTHR18896; PHOSPHOLIPASE D	GO:0035091(InterPro); GO:0003824(InterPro); GO:0004630(InterPro)|GO:0006654(InterPro)|GO:0035556(InterPro); GO:0004630(PANTHER)|GO:0009395(PANTHER)|GO:0043231(PANTHER)|GO:0060627(PANTHER)	digestion	DIGESTION	tr|A0A9P0HWC0|A0A9P0HWC0_SPOLI Phospholipase OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS382 PE=3 SV=1
g3539.t1	62	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	245	tr|A0A4C1YZY8|A0A4C1YZY8_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	71.605	99.0	1.16e-127	375.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Serpin, conserved site	IPR023795; IPR042185; IPR042178; IPR000215; IPR036186; IPR023796	Serpin, conserved site; Serpin superfamily, domain 2; Serpin superfamily, domain 1; Serpin family; Serpin superfamily; Serpin domain	PF00079; Serpin (serine protease inhibitor)	PTHR11461; SERINE PROTEASE INHIBITOR, SERPIN	GO:0004867(InterPro)|GO:0005576(InterPro)|GO:0005615(PANTHER)	enzyme; digestion	DIGESTION	Serine protease inhibitor 77Ba OS=Eumeta variegata OX=151549 GN=Spn77Ba PE=3 SV=1
g17770.t1	63	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	149	tr|A0A4C1TXN3|A0A4C1TXN3_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	93.243	99.0	6.37e-94	298.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Metallopeptidase, catalytic domain superfamily	IPR024079; IPR018497; IPR000718	Metallopeptidase, catalytic domain superfamily; Peptidase M13, C-terminal domain; Peptidase M13	PF01431; Peptidase family M13	PTHR11733; ZINC METALLOPROTEASE FAMILY M13 NEPRILYSIN-RELATED	GO:0008237(InterPro); GO:0004222(InterPro)|GO:0006508(InterPro); GO:0004222(PANTHER)|GO:0004222(InterPro)|GO:0005886(PANTHER)|GO:0006508(InterPro)|GO:0016485(PANTHER)	enzyme; digestion	DIGESTION	tr|A0A4C1TXN3|A0A4C1TXN3_EUMVA Endothelin-converting enzyme homolog OS=Eumeta variegata OX=151549 GN=EVAR_14404_1 PE=3 SV=1
g589.t1	64	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	269	tr|A0AAD7YR73|A0AAD7YR73_MYTSE	Mythimna separata	271217	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	70.696	99.0	1.53e-137	396.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Peptidase S1, PA clan	IPR009003; IPR018114; IPR001254; IPR001314	Peptidase S1, PA clan; Serine protease-like, trypsin family, histidine active site; Serine proteases, trypsin domain; Peptidase S1A, chymotrypsin family	PF00089; Trypsin	PTHR24276; POLYSERASE-RELATED	GO:0004252(InterPro)|GO:0006508(InterPro); GO:0004252(PANTHER)	enzyme; digestion	DIGESTION	Peptidase S1 domain-containing protein OS=Mythimna separata OX=271217 GN=PYW07_015733 PE=3 SV=1
g11906.t2	65	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	137	tr|A0A922CPB2|A0A922CPB2_MANSE	Manduca sexta	7130	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	80.741	99.0	1.11e-73	236.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Peptidase M14 domain-containing protein	IPR050753; IPR008969	Peptidase M14 domain-containing protein; Carboxypeptidase-like, regulatory domain superfamily	PF13620; Carboxypeptidase regulatory-like domain	PTHR11532; PROTEASE M14 CARBOXYPEPTIDASE	GO:0004181(PANTHER)|GO:0005615(PANTHER)|GO:0006518(PANTHER)|GO:0016485(PANTHER)	enzyme; digestion	DIGESTION	Peptidase M14 domain-containing protein OS=Manduca sexta OX=7130 GN=O3G_MSEX007795 PE=3 SV=1
g3980.t1	66	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	323	tr|A0A4C1VVW1|A0A4C1VVW1_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	73.913	99.0	1.3e-168	479.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Alpha/Beta hydrolase fold	IPR029058; IPR000734; IPR013818	Alpha/Beta hydrolase fold; Triacylglycerol lipase family; Lipase	PF00151; Lipase	PTHR11610; LIPASE	GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(PANTHER)|GO:0016298(InterPro)|GO:0017171(PANTHER); GO:0016298(InterPro); GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER)	enzyme; digestion	DIGESTION	Lipase member H-A OS=Eumeta variegata OX=151549 GN=liph-a PE=3 SV=1
g16017.t1	67	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	888	tr|A0ABN8IH64|A0ABN8IH64_9NEOP	Iphiclides podalirius	110791	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	82.638	99.0	0.0	1501.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Alpha/Beta hydrolase fold	IPR029058; IPR050278; IPR001375; IPR002469	Alpha/Beta hydrolase fold; Serine protease S9B/DPPIV; Peptidase S9, prolyl oligopeptidase, catalytic domain; Dipeptidylpeptidase IV, N-terminal domain	PF00326; Prolyl oligopeptidase family; PF00930; Dipeptidyl peptidase IV (DPP IV) N-terminal region	PTHR11731; PROTEASE FAMILY S9B,C DIPEPTIDYL-PEPTIDASE IV-RELATED	GO:0005886(PANTHER)|GO:0006508(PANTHER)|GO:0008239(PANTHER); GO:0006508(InterPro)|GO:0008236(InterPro); GO:0006508(InterPro)	enzyme; digestion	DIGESTION	tr|A0ABN8IH64|A0ABN8IH64_9NEOP Venom dipeptidyl peptidase 4 (Fragment) OS=Iphiclides podalirius OX=110791 GN=IPOD504_LOCUS10149 PE=3 SV=1
g5345.t1	68	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	547	tr|A0A8S0ZIV4|A0A8S0ZIV4_ARCPL	Arctia plantaginis	874455	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	73.126	99.0	0.0	793.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Peptidase M17, leucine aminopeptidase/peptidase B	IPR011356; IPR064115; IPR000819; IPR041417	Peptidase M17, leucine aminopeptidase/peptidase B; Cytosol aminopeptidase-like, conserved site; Peptidase M17, leucyl aminopeptidase, C-terminal; Probable aminopeptidase NPEPL1, N-terminal	PF00883; Cytosol aminopeptidase family, catalytic domain; PF18295; M17 aminopeptidase N-terminal domain 2	PTHR11963; LEUCINE AMINOPEPTIDASE-RELATED	GO:0005737(InterPro)|GO:0005737(PANTHER)|GO:0006508(PANTHER)|GO:0008233(PANTHER)|GO:0019538(InterPro)|GO:0030145(InterPro); GO:0005737(InterPro)|GO:0019538(InterPro)|GO:0030145(InterPro); GO:0006508(InterPro)|GO:0046872(InterPro)	enzyme; digestion	DIGESTION	Cytosol aminopeptidase domain-containing protein OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS4856 PE=3 SV=1
g3431.t1	69	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	715	tr|A0A4C1Y2D1|A0A4C1Y2D1_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	77.507	99.0	0.0	1154.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Peptidase M24, C-terminal domain	IPR032416; IPR050422; IPR036005; IPR029149; IPR000994; IPR033740; IPR000587	Peptidase M24, C-terminal domain; Xaa-Pro aminopeptidase P; Creatinase/aminopeptidase-like; Creatinase/Aminopeptidase P/Spt16, N-terminal; Peptidase M24; Aminopeptidase P; Creatinase, N-terminal	PF16188; C-terminal region of peptidase_M24; PF00557; Metallopeptidase family M24; PF01321; Creatinase/Prolidase N-terminal domain; PF16189	PTHR43763; XAA-PRO AMINOPEPTIDASE 1	GO:0070006(InterPro)	enzyme; digestion	DIGESTION	Xaa-Pro aminopeptidase 1 OS=Eumeta variegata OX=151549 GN=XPNPEP1 PE=3 SV=1
g5928.t1	70	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	651	tr|A0A8S4DD47|A0A8S4DD47_PLUXY	Plutella xylostella	51655	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	87.654	99.0	0.0	1185.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Diacylglycerol Lipase-Related	IPR052214; IPR002921; IPR029058; IPR063390	Diacylglycerol Lipase-Related; Fungal lipase-type domain; Alpha/Beta hydrolase fold; Diacylglycerol lipase, N-terminal transmembrane region	PF01764; Lipase (class 3); PF31009; Diacylglycerol lipase N-terminal transmembrane region	PTHR45792; DIACYLGLYCEROL LIPASE HOMOLOG-RELATED	GO:0004806(PANTHER)|GO:0005737(PANTHER)|GO:0005886(PANTHER)|GO:0016042(PANTHER)|GO:0016298(PANTHER)|GO:0019369(PANTHER)|GO:0022008(PANTHER)|GO:0042136(PANTHER)|GO:0046340(PANTHER); GO:0006629(InterPro)	enzyme; membrane; digestion	DIGESTION	sn-1-specific diacylglycerol lipase OS=Plutella xylostella OX=51655 GN=PLXY2_LOCUS1878 PE=4 SV=1
g1241.t1	71	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	223	tr|A0A4C1SQQ9|A0A4C1SQQ9_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	95.909	99.0	5.84e-153	443.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Alpha/Beta hydrolase fold	IPR029058; IPR002331; IPR000734; IPR013818	Alpha/Beta hydrolase fold; Pancreatic lipase; Triacylglycerol lipase family; Lipase	PF00151; Lipase	PTHR11610; LIPASE	GO:0004806(InterPro)|GO:0006629(InterPro); GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER); GO:0016298(InterPro)	enzyme; digestion	DIGESTION	Pancreatic triacylglycerol lipase OS=Eumeta variegata OX=151549 GN=PNLIP PE=3 SV=1
g14573.t1	72	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1360	tr|A0A6J1WLB2|A0A6J1WLB2_GALME	Galleria mellonella	7137	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	71.24	99.0	0.0	1997.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Disintegrin domain	IPR001762; IPR051489; IPR034025; IPR024079; IPR001590; IPR049038; IPR036436	Disintegrin domain; Disintegrin and Metalloproteinase Domain-Containing; ADAM10/ADAM17 catalytic domain; Metallopeptidase, catalytic domain superfamily; Peptidase M12B, ADAM/reprolysin; ADAM10, cysteine-rich domain; Disintegrin domain superfamily	PF13574; Metallo-peptidase family M12B Reprolysin-like; PF21299; ADAM10, cysteine-rich domain; PF00200; Disintegrin	PTHR45702; ADAM10/ADAM17 METALLOPEPTIDASE FAMILY MEMBER	GO:0004222(PANTHER)|GO:0005886(PANTHER)|GO:0006509(PANTHER)|GO:0007219(PANTHER); GO:0008237(InterPro); GO:0004222(InterPro)|GO:0006508(InterPro)	enzyme; digestion	DIGESTION	tr|A0A6J1WLB2|A0A6J1WLB2_GALME ADAM10 endopeptidase OS=Galleria mellonella OX=7137 GN=LOC113515382 PE=4 SV=2
g18679.t1	73	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	803	tr|A0A4C1VSY5|A0A4C1VSY5_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	95.119	99.0	0.0	1593.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Alpha/beta hydrolase fold-3	IPR013094; IPR029058; IPR010468	Alpha/beta hydrolase fold-3; Alpha/Beta hydrolase fold; Hormone-sensitive lipase, N-terminal	PF07859; alpha/beta hydrolase fold; PF06350; Hormone-sensitive lipase (HSL) N-terminus	PTHR23025; TRIACYLGLYCEROL LIPASE	GO:0016787(InterPro); GO:0008203(InterPro)|GO:0016042(InterPro)|GO:0016298(InterPro); GO:0004771(PANTHER)|GO:0004806(PANTHER)|GO:0005829(PANTHER)|GO:0019433(PANTHER)	enzyme; digestion; hormone	DIGESTION	tr|A0A4C1VSY5|A0A4C1VSY5_EUMVA Hormone-sensitive lipase OS=Eumeta variegata OX=151549 GN=Lipe PE=4 SV=1
g19788.t3	74	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1188	tr|A0A4C1TT93|A0A4C1TT93_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	86.113	99.0	0.0	2172.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Six-hairpin glycosidase-like superfamily	IPR012341; IPR008734; IPR045583; IPR008928; IPR011613	Six-hairpin glycosidase-like superfamily; Phosphorylase kinase alpha/beta subunit; Phosphorylase b kinase regulatory subunit alpha/beta, C-terminal domain; Six-hairpin glycosidase superfamily; GH15-like domain	PF19292; Phosphorylase b kinase C-terminal domain; PF00723; Glycosyl hydrolases family 15	PTHR10749; PHOSPHORYLASE B KINASE REGULATORY SUBUNIT	GO:0005975(InterPro); GO:0005516(InterPro)|GO:0005964(PANTHER)|GO:0005977(InterPro)	enzyme; digestion	DIGESTION	tr|A0A4C1TT93|A0A4C1TT93_EUMVA Phosphorylase b kinase regulatory subunit OS=Eumeta variegata OX=151549 GN=EVAR_8109_1 PE=3 SV=1
g5104.t1	75	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	147	tr|A0A4C1TXN3|A0A4C1TXN3_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	93.151	99.0	2.07e-92	292.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Peptidase M13, C-terminal domain	IPR018497; IPR000718; IPR024079	Peptidase M13, C-terminal domain; Peptidase M13; Metallopeptidase, catalytic domain superfamily	PF01431; Peptidase family M13	PTHR11733; ZINC METALLOPROTEASE FAMILY M13 NEPRILYSIN-RELATED	GO:0004222(InterPro)|GO:0006508(InterPro); GO:0004222(InterPro)|GO:0004222(PANTHER)|GO:0005886(PANTHER)|GO:0006508(InterPro)|GO:0016485(PANTHER); GO:0008237(InterPro)	enzyme; digestion	DIGESTION	Endothelin-converting enzyme homolog OS=Eumeta variegata OX=151549 GN=EVAR_14404_1 PE=3 SV=1
g17827.t1	76	88.349	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1020	tr|A0A4C1ZL26|A0A4C1ZL26_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	92.369	99.0	0.0	1952.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.664	100.0	30.0	100.0	95.0	Metalloenzyme, LuxS/M16 peptidase-like	IPR011249; IPR013578; IPR055130; IPR011765; IPR007863	Metalloenzyme, LuxS/M16 peptidase-like; Peptidase M16C associated; Presequence protease, mitochondrial-type, C-terminal domain; Peptidase M16, N-terminal; Peptidase M16, C-terminal	PF08367; Peptidase M16C associated; PF22516; PreP C-terminal domain; PF00675; Insulinase (Peptidase family M16); PF05193; Peptidase M16 inactive domain	PTHR43016; PRESEQUENCE PROTEASE	GO:0046872(InterPro); GO:0006508(InterPro); GO:0004222(PANTHER)|GO:0005759(PANTHER)|GO:0016485(PANTHER)	enzyme; digestion	DIGESTION	tr|A0A4C1ZL26|A0A4C1ZL26_EUMVA Presequence protease, mitochondrial OS=Eumeta variegata OX=151549 GN=EVAR_102499_1 PE=3 SV=1
g18335.t1	77	88.34	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	843	tr|A0ABM3N0Z0|A0ABM3N0Z0_GALME	Galleria mellonella	7137	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	69.964	99.0	0.0	1161.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.632	100.0	30.0	100.0	95.0	Alpha/Beta hydrolase fold	IPR029058; IPR002469; IPR050278; IPR001375	Alpha/Beta hydrolase fold; Dipeptidylpeptidase IV, N-terminal domain; Serine protease S9B/DPPIV; Peptidase S9, prolyl oligopeptidase, catalytic domain	PF00930; Dipeptidyl peptidase IV (DPP IV) N-terminal region; PF00326; Prolyl oligopeptidase family	PTHR11731; PROTEASE FAMILY S9B,C DIPEPTIDYL-PEPTIDASE IV-RELATED	GO:0006508(InterPro); GO:0006508(PANTHER)|GO:0008239(PANTHER); GO:0006508(InterPro)|GO:0008236(InterPro)	enzyme; digestion	DIGESTION	tr|A0ABM3N0Z0|A0ABM3N0Z0_GALME Dipeptidyl peptidase 9 OS=Galleria mellonella OX=7137 GN=LOC113514788 PE=3 SV=1
g19115.t1	78	88.294	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	287	tr|A0A7E5WR11|A0A7E5WR11_TRINI	Trichoplusia ni	7111	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	68.99	100.0	7.57e-152	435.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.48	100.0	30.0	100.0	95.0	CAAX prenyl protease 2, eukaryotes	IPR039731; IPR003675	CAAX prenyl protease 2, eukaryotes; CAAX prenyl protease 2/Lysostaphin resistance protein A-like domain	PF02517; Type II CAAX prenyl endopeptidase Rce1-like	PTHR13046; PROTEASE U48 CAAX PRENYL PROTEASE RCE1	GO:0004222(PANTHER)|GO:0004222(InterPro)|GO:0005789(InterPro)|GO:0005789(PANTHER)|GO:0071586(PANTHER)|GO:0071586(InterPro)	enzyme; digestion	DIGESTION	tr|A0A7E5WR11|A0A7E5WR11_TRINI CAAX prenyl protease 2 OS=Trichoplusia ni OX=7111 GN=LOC113504815 PE=3 SV=1
g1854.t1	79	88.259	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	408	tr|A0A4C1YY61|A0A4C1YY61_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	77.696	100.0	0.0	671.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.364	100.0	30.0	93.0	100.0	Ecdysteroid kinase-like	IPR004119; IPR011009; IPR015897	Ecdysteroid kinase-like; Protein kinase-like domain superfamily; CHK kinase-like	PF02958; Ecdysteroid kinase-like family	PTHR11012; PROTEIN KINASE-LIKE DOMAIN-CONTAINING		enzyme	GROWTH_DEVELOPMENT	CHK kinase-like domain-containing protein OS=Eumeta variegata OX=151549 GN=EVAR_49423_1 PE=4 SV=1
g3411.t1	80	88.234	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	91	tr|A0A4C1T8G7|A0A4C1T8G7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	81.111	99.0	1.47e-42	147.0	12	12	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.278	100.0	30.0	100.0	95.0	Serine proteases, trypsin domain	IPR001254; IPR009003; IPR018114	Serine proteases, trypsin domain; Peptidase S1, PA clan; Serine protease-like, trypsin family, histidine active site	PF00089; Trypsin	PTHR24276; POLYSERASE-RELATED	GO:0004252(PANTHER); GO:0004252(InterPro)|GO:0006508(InterPro)	enzyme; digestion	DIGESTION	Chymotrypsin-2 OS=Eumeta variegata OX=151549 GN=EVAR_6336_1 PE=3 SV=1
g17311.t1	81	88.222	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	1003	tr|A0AAD7YJG8|A0AAD7YJG8_MYTSE	Mythimna separata	271217	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	65.86	100.0	0.0	1093.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	95.741	100.0	30.0	100.0	100.0	EF-hand domain	IPR002048; IPR000261; IPR011992; IPR018247; IPR003903	EF-hand domain; EH domain; EF-hand domain pair; EF-Hand 1, calcium-binding site; Ubiquitin interacting motif	PF12763; EH domain	PTHR11216; EH DOMAIN	GO:0005509(InterPro); GO:0005515(InterPro); GO:0005737(PANTHER)|GO:0005886(PANTHER)|GO:0006897(PANTHER)|GO:0016197(PANTHER)	receptor; development	GROWTH_DEVELOPMENT	tr|A0AAD7YJG8|A0AAD7YJG8_MYTSE Epidermal growth factor receptor substrate 15-like 1 OS=Mythimna separata OX=271217 GN=PYW07_005510 PE=4 SV=1
g6168.t3	82	88.197	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	409	tr|A0AAU9V375|A0AAU9V375_EUPED	Euphydryas editha	104508	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	81.667	98.0	0.0	736.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	98.155	100.0	30.0	100.0	95.0	Peptidase M2, peptidyl-dipeptidase A	IPR001548	Peptidase M2, peptidyl-dipeptidase A	PF01401; Angiotensin-converting enzyme	PTHR10514; ANGIOTENSIN-CONVERTING ENZYME	GO:0006508(InterPro)|GO:0008237(InterPro)|GO:0008241(InterPro)|GO:0016020(InterPro); GO:0005615(PANTHER)|GO:0005886(PANTHER)|GO:0006508(InterPro)|GO:0008237(PANTHER)|GO:0008237(InterPro)|GO:0008241(InterPro)|GO:0016020(InterPro)	enzyme; digestion	DIGESTION	Angiotensin-converting enzyme OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS19539 PE=3 SV=1
g19136.t1	83	88.167	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	538	tr|A0A4C1SUX7|A0A4C1SUX7_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	81.818	100.0	0.0	925.0	11	11	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	99.555	100.0	30.0	97.0	95.0	Peptidase M17, leucyl aminopeptidase, C-terminal	IPR000819; IPR011356	Peptidase M17, leucyl aminopeptidase, C-terminal; Peptidase M17, leucine aminopeptidase/peptidase B	PF00883; Cytosol aminopeptidase family, catalytic domain	PTHR11963; LEUCINE AMINOPEPTIDASE-RELATED	GO:0006508(InterPro)|GO:0046872(InterPro); GO:0005737(InterPro)|GO:0005737(PANTHER)|GO:0006508(PANTHER)|GO:0008233(PANTHER)|GO:0019538(InterPro)|GO:0030145(InterPro); GO:0005737(InterPro)|GO:0019538(InterPro)|GO:0030145(InterPro)	enzyme; digestion	DIGESTION	tr|A0A4C1SUX7|A0A4C1SUX7_EUMVA Aminopeptidase W07G4.4 OS=Eumeta variegata OX=151549 GN=lap-2 PE=3 SV=1
g783.t1	84	88.139	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	926	tr|A0A4C1XD44|A0A4C1XD44_EUMVA	Eumeta variegata	151549	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	92.696	98.0	0.0	1738.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.964	100.0	30.0	100.0	95.0	Peptidase M14, carboxypeptidase A	IPR000834; IPR050821; IPR040626	Peptidase M14, carboxypeptidase A; Cytosolic carboxypeptidase; Cytosolic carboxypeptidase, N-terminal	PF00246; Zinc carboxypeptidase; PF18027; Cytosolic carboxypeptidase N-terminal domain	PTHR12756; CYTOSOLIC CARBOXYPEPTIDASE	GO:0004181(InterPro)|GO:0006508(InterPro)|GO:0008270(InterPro)	enzyme; digestion	DIGESTION	Cytosolic carboxypeptidase Nna1 OS=Eumeta variegata OX=151549 GN=Nna1 PE=3 SV=1
g16796.t1	85	88.139	KEEP	Strong arthropod homology with multiple qualifying hits and strong combined evidence.	470	tr|A0ABR3HCD7|A0ABR3HCD7_LOXSC	Loxostege sticticalis	481309	Eukaryota; Metazoa; Arthropoda; Insecta; Lepidoptera	76.674	98.0	0.0	751.0	10	10	1.0	0.0	0.0	0.0	0.0	KEEP_ARTHROPOD	97.964	100.0	30.0	100.0	95.0	Peptidase S10, serine carboxypeptidase	IPR001563; IPR029058; IPR018202; IPR033124	Peptidase S10, serine carboxypeptidase; Alpha/Beta hydrolase fold; Serine carboxypeptidase, serine active site; Serine carboxypeptidases, histidine active site	PF00450; Serine carboxypeptidase	PTHR11802; SERINE PROTEASE FAMILY S10 SERINE CARBOXYPEPTIDASE	GO:0004185(PANTHER)|GO:0004185(InterPro)|GO:0006508(InterPro); GO:0004185(InterPro)|GO:0006508(InterPro); GO:0004185(InterPro)	enzyme; digestion	DIGESTION	tr|A0ABR3HCD7|A0ABR3HCD7_LOXSC Carboxypeptidase OS=Loxostege sticticalis OX=481309 GN=ABMA27_008727 PE=3 SV=1
