qseqid	sseqid	pident	length	qlen	slen	qcovs	evalue	bitscore	stitle	source	source_file	classification
g7884.t1	tr|A0A1I8QET0|A0A1I8QET0_STOCA	34.241	257	362	325	71	6.53e-38	147.0	Protein lifeguard 1 OS=Stomoxys calcitrans OX=35570 GN=106081941 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0A821U2H2|A0A821U2H2_9NEOP	58.209	737	711	873	99	0.0	865.0	THAP-type domain-containing protein OS=Pieris macdunnoughi OX=345717 GN=PMACD_LOCUS9799 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0ACC2Q5C1|A0ACC2Q5C1_9NEOP	56.242	745	711	889	100	0.0	807.0	THAP-type domain-containing protein OS=Mythimna loreyi OX=667449 GN=PYW08_010089 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0A835GEI6|A0A835GEI6_SPOEX	54.229	603	711	825	83	0.0	621.0	Transposable element P transposase (Fragment) OS=Spodoptera exigua OX=7107 GN=HW555_008134 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0AAU9V905|A0AAU9V905_EUPED	43.553	760	711	942	99	0.0	616.0	THAP-type domain-containing protein OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS22224 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0ABM3LZ92|A0ABM3LZ92_BICAN	43.529	765	711	895	100	0.0	600.0	Uncharacterized protein LOC128199339 OS=Bicyclus anynana OX=110368 GN=LOC128199339 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0AAU9V158|A0AAU9V158_EUPED	42.517	755	711	896	99	0.0	585.0	THAP-type domain-containing protein OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS19354 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0AAU9TPV6|A0AAU9TPV6_EUPED	42.023	771	711	917	99	0.0	575.0	THAP-type domain-containing protein OS=Euphydryas editha OX=104508 GN=EEDITHA_LOCUS5015 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7885.t1	tr|A0ABM3M7H1|A0ABM3M7H1_BICAN	45.297	691	711	682	90	0.0	575.0	Uncharacterized protein LOC112046793 OS=Bicyclus anynana OX=110368 GN=LOC112046793 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0A4C1SUL7|A0A4C1SUL7_EUMVA	91.626	812	812	881	100	0.0	1467.0	Villin-like protein quail OS=Eumeta variegata OX=151549 GN=qua PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0ABM3N4W4|A0ABM3N4W4_GALME	74.634	820	812	845	100	0.0	1206.0	Villin-like protein quail isoform X3 OS=Galleria mellonella OX=7137 GN=LOC113516845 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0ABM3N4Q1|A0ABM3N4Q1_GALME	74.634	820	812	849	100	0.0	1205.0	Villin-like protein quail isoform X2 OS=Galleria mellonella OX=7137 GN=LOC113516845 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0ABM3N4Z2|A0ABM3N4Z2_GALME	74.634	820	812	854	100	0.0	1205.0	Villin-like protein quail isoform X1 OS=Galleria mellonella OX=7137 GN=LOC113516845 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0ABR3IFM6|A0ABR3IFM6_LOXSC	75.672	818	812	854	100	0.0	1196.0	HP domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_013527 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0AAD7YUN7|A0AAD7YUN7_MYTSE	74.205	818	812	853	100	0.0	1194.0	HP domain-containing protein OS=Mythimna separata OX=271217 GN=PYW07_001266 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0ACC2QYJ3|A0ACC2QYJ3_9NEOP	73.961	818	812	858	100	0.0	1191.0	HP domain-containing protein OS=Mythimna loreyi OX=667449 GN=PYW08_000796 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0A8S1AZG8|A0A8S1AZG8_ARCPL	73.472	818	812	857	100	0.0	1190.0	HP domain-containing protein OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS12716 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0A921Z2U3|A0A921Z2U3_MANSE	73.626	819	812	858	100	0.0	1184.0	HP domain-containing protein OS=Manduca sexta OX=7130 GN=O3G_MSEX006570 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7891.t1	tr|A0A921Z2W2|A0A921Z2W2_MANSE	73.626	819	812	853	100	0.0	1182.0	HP domain-containing protein OS=Manduca sexta OX=7130 GN=O3G_MSEX006570 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0A4C1Y845|A0A4C1Y845_EUMVA	74.269	171	163	171	100	6.48e-85	256.0	Acyl-coenzyme A thioesterase 13 OS=Eumeta variegata OX=151549 GN=ACOT13 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0ABQ7Q5G6|A0ABQ7Q5G6_PLUXY	40.741	162	163	163	99	7.24e-40	141.0	Thioesterase domain-containing protein OS=Plutella xylostella OX=51655 GN=JYU34_016037 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0ABR3HJ21|A0ABR3HJ21_LOXSC	42.484	153	163	160	94	8.95e-37	133.0	Thioesterase domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_005408 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0A8S1ASE0|A0A8S1ASE0_ARCPL	40.764	157	163	161	96	9.210000000000001e-37	133.0	Thioesterase domain-containing protein OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS11898 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0A8S1AST4|A0A8S1AST4_ARCPL	37.58	157	163	161	96	1.77e-33	125.0	Thioesterase domain-containing protein OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS11896 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0A8R2ANC0|A0A8R2ANC0_BOMMO	35.625	160	163	163	98	2.11e-31	120.0	Thioesterase domain-containing protein OS=Bombyx mori OX=7091 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0A6J2JDS7|A0A6J2JDS7_BOMMA	35.0	160	163	163	98	1.79e-30	117.0	Acyl-coenzyme A thioesterase 13-like OS=Bombyx mandarina OX=7092 GN=LOC114240975 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0A977XKZ3|A0A977XKZ3_MANSE	38.125	160	163	163	98	3.86e-30	116.0	Esterase OS=Manduca sexta OX=7130 PE=2 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0A922CH74|A0A922CH74_MANSE	38.125	160	163	163	98	3.86e-30	116.0	Thioesterase domain-containing protein OS=Manduca sexta OX=7130 GN=O3G_MSEX004267 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7900.t1	tr|A0ACC1CVG3|A0ACC1CVG3_9NEOP	36.145	166	163	171	100	4.5099999999999995e-28	111.0	Thioesterase domain-containing protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_009398 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A4C1YG81|A0A4C1YG81_EUMVA	68.601	293	368	304	79	3.7e-141	412.0	Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_90335_1 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A835L7T0|A0A835L7T0_SPOEX	42.767	318	368	434	82	2.15e-59	207.0	Uncharacterized protein OS=Spodoptera exigua OX=7107 GN=HW555_002649 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A8S1BC60|A0A8S1BC60_ARCPL	40.506	316	368	428	81	2.17e-57	202.0	Uncharacterized protein OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS15481 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A9J7E599|A0A9J7E599_SPOLT	43.034	323	368	435	82	6.82e-57	201.0	Uncharacterized protein LOC111352962 OS=Spodoptera litura OX=69820 GN=LOC111352962 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A9P0I4F4|A0A9P0I4F4_SPOLI	43.034	323	368	435	82	7.12e-57	201.0	Uncharacterized protein OS=Spodoptera littoralis OX=7109 GN=SPLIT_LOCUS5166 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0ABN8B749|A0ABN8B749_CHISP	41.379	319	368	434	81	7.81e-57	201.0	Uncharacterized protein OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS8669 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A7E5WFI5|A0A7E5WFI5_TRINI	42.722	316	368	429	82	4.44e-56	198.0	Uncharacterized protein LOC113502207 OS=Trichoplusia ni OX=7111 GN=LOC113502207 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0AAV1M4S3|A0AAV1M4S3_9NEOP	39.49	314	368	321	82	4.5500000000000005e-56	195.0	Uncharacterized protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS20699 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A9N9WIH2|A0A9N9WIH2_9NEOP	40.385	312	368	342	80	5.5700000000000005e-56	196.0	Uncharacterized protein OS=Diatraea saccharalis OX=40085 GN=DIATSA_LOCUS13709 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7903.t1	tr|A0A9R0ELN8|A0A9R0ELN8_SPOFR	41.956	317	368	433	82	2.6e-55	196.0	Uncharacterized protein LOC118271526 OS=Spodoptera frugiperda OX=7108 GN=LOC118271526 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0ACC1DF57|A0ACC1DF57_9NEOP	48.902	1730	1529	1677	100	0.0	1393.0	Uncharacterized protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_001820 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A4C1YIS0|A0A4C1YIS0_EUMVA	80.359	779	1529	1240	70	0.0	1193.0	Prolow-density lipoprotein receptor-related protein 1 OS=Eumeta variegata OX=151549 GN=Lrp1 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A4C1YIS0|A0A4C1YIS0_EUMVA	81.164	292	1529	1240	70	7.649999999999999e-150	500.0	Prolow-density lipoprotein receptor-related protein 1 OS=Eumeta variegata OX=151549 GN=Lrp1 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A8S4G5T8|A0A8S4G5T8_PLUXY	74.409	719	1529	1674	100	0.0	1148.0	(diamondback moth) hypothetical protein OS=Plutella xylostella OX=51655 GN=PLXY2_LOCUS13464 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A8S4G5T8|A0A8S4G5T8_PLUXY	57.87	864	1529	1674	100	0.0	839.0	(diamondback moth) hypothetical protein OS=Plutella xylostella OX=51655 GN=PLXY2_LOCUS13464 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0ABR3IK21|A0ABR3IK21_LOXSC	74.931	726	1529	1622	98	0.0	1136.0	Peptidase S1 domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_006687 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0ABR3IK21|A0ABR3IK21_LOXSC	46.97	1122	1529	1622	98	0.0	792.0	Peptidase S1 domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_006687 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0ABN8B9M7|A0ABN8B9M7_CHISP	74.105	726	1529	1663	99	0.0	1125.0	Peptidase S1 domain-containing protein OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS8666 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0ABN8B9M7|A0ABN8B9M7_CHISP	56.547	863	1529	1663	99	0.0	833.0	Peptidase S1 domain-containing protein OS=Chilo suppressalis OX=168631 GN=CHILSU_LOCUS8666 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A6J3C9B0|A0A6J3C9B0_GALME	71.543	752	1529	1669	100	0.0	1117.0	Uncharacterized protein LOC113518140 isoform X1 OS=Galleria mellonella OX=7137 GN=LOC113518140 PE=4 SV=2	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A6J3C9B0|A0A6J3C9B0_GALME	56.797	868	1529	1669	100	0.0	837.0	Uncharacterized protein LOC113518140 isoform X1 OS=Galleria mellonella OX=7137 GN=LOC113518140 PE=4 SV=2	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0AAD8E106|A0AAD8E106_MYTSE	73.288	730	1529	1681	100	0.0	1104.0	Uncharacterized protein OS=Mythimna separata OX=271217 GN=PYW07_007293 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0AAD8E106|A0AAD8E106_MYTSE	54.886	880	1529	1681	100	0.0	812.0	Uncharacterized protein OS=Mythimna separata OX=271217 GN=PYW07_007293 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A6J1WSK5|A0A6J1WSK5_GALME	71.295	749	1529	1656	100	0.0	1104.0	Uncharacterized protein LOC113518140 isoform X2 OS=Galleria mellonella OX=7137 GN=LOC113518140 PE=4 SV=2	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A6J1WSK5|A0A6J1WSK5_GALME	56.797	868	1529	1656	100	0.0	837.0	Uncharacterized protein LOC113518140 isoform X2 OS=Galleria mellonella OX=7137 GN=LOC113518140 PE=4 SV=2	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A7E5WFC9|A0A7E5WFC9_TRINI	73.306	723	1529	1652	99	0.0	1098.0	Uncharacterized protein LOC113502182 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113502182 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7905.t2	tr|A0A7E5WFC9|A0A7E5WFC9_TRINI	57.864	852	1529	1652	99	0.0	838.0	Uncharacterized protein LOC113502182 isoform X1 OS=Trichoplusia ni OX=7111 GN=LOC113502182 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0A7E5WF12|A0A7E5WF12_TRINI	66.071	224	260	260	84	5.17e-96	291.0	Uncharacterized protein LOC113502106 OS=Trichoplusia ni OX=7111 GN=LOC113502106 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0A2W1BR76|A0A2W1BR76_HELAM	60.148	271	260	263	99	1.76e-95	290.0	Uncharacterized protein OS=Helicoverpa armigera OX=29058 GN=HaOG206591 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0A8B8HVZ9|A0A8B8HVZ9_VANTA	62.551	243	260	260	91	4.05e-93	284.0	Uncharacterized protein LOC113394683 OS=Vanessa tameamea OX=334116 GN=LOC113394683 PE=4 SV=2	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0ACC2RAE4|A0ACC2RAE4_9NEOP	57.664	274	260	265	99	2.63e-92	282.0	Uncharacterized protein OS=Mythimna loreyi OX=667449 GN=PYW08_006892 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0AAV1M689|A0AAV1M689_9NEOP	58.779	262	260	265	97	2.87e-92	282.0	Uncharacterized protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS20701 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0AAD8DZW1|A0AAD8DZW1_MYTSE	56.835	278	260	264	99	3.53e-91	279.0	Uncharacterized protein OS=Mythimna separata OX=271217 GN=PYW07_007292 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0AAV1M3C5|A0AAV1M3C5_9NEOP	59.16	262	260	263	97	3.6e-91	279.0	Uncharacterized protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS20701 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0A8S4RIK5|A0A8S4RIK5_9NEOP	60.656	244	260	259	91	2.71e-90	276.0	Jg23963 protein OS=Pararge aegeria aegeria OX=348720 GN=jg23963 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0A8J2R4L7|A0A8J2R4L7_9NEOP	60.784	255	260	261	94	8.259999999999999e-90	275.0	(African queen) hypothetical protein OS=Danaus chrysippus OX=151541 GN=DCHRY22_LOCUS14123 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7907.t1	tr|A0ACC1DF74|A0ACC1DF74_9NEOP	62.348	247	260	265	91	3.38e-89	274.0	Uncharacterized protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_001819 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0A4C1Z8G3|A0A4C1Z8G3_EUMVA	79.484	775	771	783	100	0.0	976.0	Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_46611_1 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0ABM3N502|A0ABM3N502_GALME	48.272	810	771	759	98	7.28e-173	525.0	Uncharacterized protein LOC113518553 OS=Galleria mellonella OX=7137 GN=LOC113518553 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0ABR3IK64|A0ABR3IK64_LOXSC	48.411	818	771	747	99	4.2300000000000005e-163	499.0	Uncharacterized protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_006684 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0A921Z933|A0A921Z933_MANSE	47.519	806	771	747	98	1.18e-153	475.0	Uncharacterized protein OS=Manduca sexta OX=7130 GN=O3G_MSEX008002 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0ACC1DER8|A0ACC1DER8_9NEOP	48.106	792	771	732	98	1.84e-152	471.0	Uncharacterized protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_001817 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0ACC0KR56|A0ACC0KR56_CHOFU	48.162	789	771	746	98	3.17e-151	468.0	Uncharacterized protein OS=Choristoneura fumiferana OX=7141 GN=MSG28_011073 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0A8R2AK15|A0A8R2AK15_BOMMO	46.125	800	771	728	98	1.15e-145	453.0	Uncharacterized protein OS=Bombyx mori OX=7091 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0A6J2KGY4|A0A6J2KGY4_BOMMA	45.625	800	771	728	98	5.49e-144	449.0	Uncharacterized protein LOC114250941 OS=Bombyx mandarina OX=7092 GN=LOC114250941 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0A0L7LDG6|A0A0L7LDG6_OPEBR	47.631	781	771	704	98	1.17e-139	437.0	Uncharacterized protein OS=Operophtera brumata OX=104452 GN=OBRU01_10549 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7908.t1	tr|A0A8J9YHZ8|A0A8J9YHZ8_9NEOP	45.443	801	771	757	98	3.26e-136	430.0	Uncharacterized protein (Fragment) OS=Brenthis ino OX=405034 GN=BINO364_LOCUS12743 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0ACC1DEX6|A0ACC1DEX6_9NEOP	68.921	769	761	763	99	0.0	1056.0	Major facilitator superfamily (MFS) profile domain-containing protein OS=Dendrolimus kikuchii OX=765133 GN=K1T71_001816 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0AAD8DZU2|A0AAD8DZU2_MYTSE	69.701	769	761	764	100	0.0	1051.0	Major facilitator superfamily associated domain-containing protein OS=Mythimna separata OX=271217 GN=PYW07_007289 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0A9J7E6I0|A0A9J7E6I0_SPOLT	69.351	770	761	765	100	0.0	1050.0	Uncharacterized protein LOC111353335 OS=Spodoptera litura OX=69820 GN=LOC111353335 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0ACC2R8K1|A0ACC2R8K1_9NEOP	69.819	772	761	767	100	0.0	1050.0	Major facilitator superfamily associated domain-containing protein OS=Mythimna loreyi OX=667449 GN=PYW08_006897 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0A9R0EN67|A0A9R0EN67_SPOFR	69.051	769	761	765	100	0.0	1047.0	Uncharacterized protein LOC118273426 OS=Spodoptera frugiperda OX=7108 GN=LOC118273426 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0A835GNH8|A0A835GNH8_SPOEX	69.01	768	761	765	100	0.0	1046.0	Major facilitator superfamily associated domain-containing protein OS=Spodoptera exigua OX=7107 GN=HW555_002653 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0A6J2KIM0|A0A6J2KIM0_BOMMA	68.709	767	761	752	99	0.0	1045.0	Uncharacterized protein LOC114250907 OS=Bombyx mandarina OX=7092 GN=LOC114250907 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0A8R2GBH8|A0A8R2GBH8_BOMMO	68.709	767	761	752	99	0.0	1044.0	Major facilitator superfamily associated domain-containing protein OS=Bombyx mori OX=7091 GN=101737216 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0A9P0FRZ9|A0A9P0FRZ9_CHRIL	69.843	766	761	762	100	0.0	1043.0	Major facilitator superfamily associated domain-containing protein OS=Chrysodeixis includens OX=689277 GN=CINC_LOCUS5740 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7909.t1	tr|A0A921Z991|A0A921Z991_MANSE	68.146	766	761	767	99	0.0	1042.0	Major facilitator superfamily associated domain-containing protein OS=Manduca sexta OX=7130 GN=O3G_MSEX007985 PE=3 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0A4C1XK34|A0A4C1XK34_EUMVA	83.908	174	205	181	85	1.0900000000000001e-103	305.0	Uncharacterized protein OS=Eumeta variegata OX=151549 GN=EVAR_45683_1 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0AAV1LWK0|A0AAV1LWK0_9NEOP	62.195	164	205	193	80	9.980000000000001e-66	209.0	Uncharacterized protein OS=Parnassius mnemosyne OX=213953 GN=PARMNEM_LOCUS17538 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0A8S3WYT9|A0A8S3WYT9_PARAO	61.818	165	205	173	80	2.04e-65	208.0	(apollo) hypothetical protein OS=Parnassius apollo OX=110799 GN=PAPOLLO_LOCUS12173 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0A922CT78|A0A922CT78_MANSE	62.195	164	205	192	80	4.28e-63	203.0	Uncharacterized protein OS=Manduca sexta OX=7130 GN=O3G_MSEX010330 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0A9N8L282|A0A9N8L282_CHRIL	60.0	165	205	194	80	1.62e-62	201.0	Uncharacterized protein OS=Chrysodeixis includens OX=689277 GN=CINC_LOCUS11521 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0ACC2R5I4|A0ACC2R5I4_9NEOP	60.606	165	205	213	80	9.51e-61	197.0	Uncharacterized protein OS=Mythimna loreyi OX=667449 GN=PYW08_001754 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0A8S0ZUE6|A0A8S0ZUE6_ARCPL	60.0	165	205	223	80	1.1499999999999999e-60	198.0	Uncharacterized protein OS=Arctia plantaginis OX=874455 GN=APLA_LOCUS6674 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0AAD7YUT7|A0AAD7YUT7_MYTSE	52.683	205	205	221	99	1.28e-60	197.0	Uncharacterized protein OS=Mythimna separata OX=271217 GN=PYW07_001538 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0A194RNV5|A0A194RNV5_PAPMA	59.639	166	205	267	81	1.01e-59	197.0	Uncharacterized protein OS=Papilio machaon OX=76193 GN=RR48_12516 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7913.t1	tr|A0A0L7KXG6|A0A0L7KXG6_OPEBR	55.135	185	205	206	81	1.19e-59	194.0	Lysocardiolipin acyltransferase 1 (Fragment) OS=Operophtera brumata OX=104452 GN=OBRU01_18897 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7918.t1	tr|A0ABR3I6J7|A0ABR3I6J7_LOXSC	40.0	110	79	622	91	7.35e-08	57.8	PiggyBac transposable element-derived protein domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_015153 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
g7918.t1	tr|A0ABR3ICI1|A0ABR3ICI1_LOXSC	41.818	110	79	622	91	1.08e-05	51.6	PiggyBac transposable element-derived protein domain-containing protein OS=Loxostege sticticalis OX=481309 GN=ABMA27_014057 PE=4 SV=1	TrEMBL	combined_trembl_blast.tsv	TR_EMBL
