Gene_ID,Length,GC(%),N_Count,Invalid_Characters
g13213,3632,37.11,0,
g13214,19903,31.92,0,
g13215,16113,36.01,0,
g13216,1090,36.79,0,
g13217,3000,32.3,0,
g13218,7769,31.02,0,
g13219,1359,30.68,0,
g1322,13011,32.5,0,
g13220,18768,34.43,0,
g13221,7165,35.7,0,
g13222,9827,41.12,0,
g13223,12591,36.78,0,
g13224,8072,36.39,0,
g13225,2345,40.26,0,
g13226,1491,47.75,0,
g13227,216,56.02,0,
g13228,216,60.19,0,
g13229,1031,41.42,0,
g1323,8685,64.03,0,
g13230,4733,36.23,0,
g13231,38137,35.46,0,
g13232,34550,32.55,0,
g13233,16531,34.52,0,
g13234,5815,29.77,0,
g13235,14463,33.72,0,
g13236,402,30.1,0,
g13237,323,34.67,0,
g13238,5383,33.18,0,
g13239,423,56.97,0,
g1324,18649,39.0,0,
g13240,10174,35.45,0,
g13241,1041,65.99,0,
g13242,6686,37.0,0,
g13243,27693,38.94,0,
g13244,2875,41.43,0,
g13245,428,46.26,0,
g13246,3319,37.27,0,
g13247,16497,36.29,0,
g13248,5503,38.43,0,
g13249,2491,39.66,0,
g1325,7628,34.7,0,
g13250,33906,36.86,0,
g13251,62863,37.15,0,
g13252,3459,32.35,0,
g13253,3699,39.85,0,
g13254,11256,36.21,0,
g13255,37388,34.13,0,
g13256,28409,33.37,0,
g13257,579,38.86,0,
g13258,342,42.11,0,
g13259,47499,34.95,0,
g1326,45701,35.25,0,
g13260,1587,36.55,0,
g13261,2098,45.04,0,
g13262,2107,56.67,0,
g13263,57564,38.83,0,
g13264,12931,39.76,0,
g13265,17145,36.89,0,
g13266,360,61.67,0,
g13267,8677,39.98,0,
g13268,5890,37.33,0,
g13269,1458,43.28,0,
g1327,7842,34.76,0,
g13270,1509,43.27,0,
g13271,7512,33.52,0,
g13272,24392,35.53,0,
g13273,1327,38.58,0,
g13274,24644,35.36,0,
g13275,6323,35.95,0,
g13276,22089,36.65,0,
g13277,1410,33.55,0,
g13278,2617,36.22,0,
g13279,21806,32.79,0,
g1328,44821,37.76,0,
g13280,1308,43.43,0,
g13281,342,56.73,0,
g13282,18046,36.22,0,
g13283,10829,31.89,0,
g13284,946,41.65,0,
g13285,84985,36.75,0,
g13286,1800,39.94,0,
g13287,1800,31.78,0,
g13288,621,35.27,0,
g13289,17870,34.17,0,
g1329,11366,36.05,0,
g13290,1415,33.22,0,
g13291,840,42.62,0,
g13292,16667,37.22,0,
g13293,8799,37.11,0,
g13294,16713,34.96,0,
g13295,27009,37.61,0,
g13296,5343,38.8,0,
g13297,4663,37.85,0,
g13298,3299,31.8,0,
g13299,14880,36.49,0,
g133,1122,45.1,0,
g1330,17044,39.62,0,
g13300,2941,38.56,0,
g13301,428,47.2,0,
g13302,267,49.44,0,
g13303,2715,44.16,0,
g13304,1199,39.37,0,
g13305,42887,38.28,0,
g13306,11252,36.73,0,
g13307,5128,39.86,0,
g13308,11063,38.52,0,
g13309,4270,39.63,0,
g1331,5322,34.24,0,
g13310,435,75.17,0,
g13311,5690,32.36,0,
g13312,742,32.88,0,
g13313,3793,36.75,0,
g13314,12865,34.08,0,
g13315,957,34.8,0,
g13316,11658,32.72,0,
g13317,46604,34.97,0,
g13318,9358,33.56,0,
g13319,15419,35.07,0,
g1332,15347,37.41,0,
g13320,50456,35.05,0,
g13321,3147,37.56,0,
g13322,35016,34.88,0,
g13323,7040,37.59,0,
g13324,10823,34.51,0,
g13325,28425,37.08,0,
g13326,6351,38.81,0,
g13327,13439,39.76,0,
g13328,26260,37.42,0,
g13329,6083,33.17,0,
g1333,12462,33.02,0,
g13330,43199,37.84,0,
g13331,10908,39.63,0,
g13332,43798,34.51,0,
g13333,21901,39.33,0,
g13334,929,50.16,0,
g13335,2838,52.26,0,
g13336,2048,39.99,0,
g13337,246,46.75,0,
g13338,1182,54.99,0,
g13339,9291,37.37,0,
g1334,53841,38.7,0,
g13340,13593,34.91,0,
g13341,3208,36.56,0,
g13342,7730,36.14,0,
g13343,11908,33.83,0,
g13344,2502,35.73,0,
g13345,6287,29.54,0,
g13346,3852,32.17,0,
g13347,1986,33.69,0,
g13348,7555,33.32,0,
g13349,13482,35.17,0,
g1335,312,63.78,0,
g13350,97410,36.81,0,
g13351,417,72.18,0,
g13352,13121,34.75,0,
g13353,1800,39.94,0,
g13354,8167,36.55,0,
g13355,14519,35.19,0,
g13356,607,32.62,0,
g13357,13875,34.03,0,
g13358,16899,33.93,0,
g13359,14943,35.96,0,
g1336,4704,40.8,0,
g13360,30031,37.26,0,
g13361,10720,35.1,0,
g13362,2341,34.05,0,
g13363,4593,29.46,0,
g13364,10585,39.38,0,
g13365,12981,33.32,0,
g13366,17752,32.67,0,
g13367,14957,34.65,0,
g13368,2376,33.16,0,
g13369,45593,35.25,0,
g1337,17862,39.92,0,
g13370,7481,33.77,0,
g13371,2210,34.12,0,
g13372,306,55.23,0,
g13373,2676,48.77,0,
g13374,785,43.82,0,
g13375,29013,38.53,0,
g13376,15426,33.72,0,
g13377,4300,37.23,0,
g13378,11698,38.2,0,
g13379,629,35.45,0,
g1338,61605,37.66,0,
g13380,500,42.6,0,
g13381,7595,32.57,0,
g13382,6465,36.6,0,
g13383,579,31.09,0,
g13384,1735,44.32,0,
g13385,5803,37.67,0,
g13386,222,63.51,0,
g13387,6158,35.95,0,
g13388,55006,35.23,0,
g13389,16843,35.27,0,
g1339,270,69.26,0,
g13390,38074,39.26,0,
g13391,288,54.51,0,
g13392,291,64.26,0,
g13393,7574,38.0,0,
g13394,756,56.22,0,
g13395,20398,36.31,0,
g13396,5689,40.92,0,
g13397,28388,38.6,0,
g13398,14297,32.05,0,
g13399,11840,39.54,0,
g134,1083,49.49,0,
g1340,650,38.31,0,
g13400,67395,36.21,0,
g13401,234,68.38,0,
g13402,10764,39.65,0,
g13403,1654,52.18,0,
g13404,11246,35.8,0,
g13405,28430,37.34,0,
g13406,5075,39.11,0,
g13407,110920,37.33,0,
g13408,4907,33.14,0,
g13409,4706,43.14,0,
g1341,10595,37.17,0,
g13410,414,37.68,0,
g13411,34490,36.14,0,
g13412,10125,34.99,0,
g13413,2759,34.72,0,
g13414,38167,37.47,0,
g13415,675,44.0,0,
g13416,1640,37.74,0,
g13417,106680,36.85,0,
g13418,14951,38.02,0,
g13419,207,74.4,0,
g1342,4643,37.76,0,
g13420,27353,36.11,0,
g13421,12588,32.6,0,
g13422,18614,35.94,0,
g13423,1257,25.86,0,
g13424,7650,33.31,0,
g13425,5715,32.97,0,
g13426,1720,33.43,0,
g13427,9268,34.17,0,
g13428,6069,31.47,0,
g13429,2207,40.28,0,
g1343,7623,34.61,0,
g13430,369,63.41,0,
g13431,1776,38.46,0,
g13432,429,56.64,0,
g13433,6874,37.63,0,
g13434,1606,33.56,0,
g13435,3030,37.76,0,
g13436,4326,34.79,0,
g13437,1974,35.71,0,
g13438,318,56.6,0,
g13439,3800,40.89,0,
g1344,4187,69.07,0,
g13440,10632,35.02,0,
g13441,5073,37.02,0,
g13442,12314,34.9,0,
g13443,32882,39.14,0,
g13444,321,53.27,0,
g13445,7097,35.85,0,
g13446,21338,35.38,0,
g13447,549,57.56,0,
g13448,10387,36.87,0,
g13449,25149,40.28,0,
g1345,6774,46.99,0,
g13450,4152,44.53,0,
g13451,13974,32.27,0,
g13452,37400,36.31,0,
g13453,6744,39.77,0,
g13454,1621,53.61,0,
g13455,3871,32.14,0,
g13456,1209,43.26,0,
g13457,21529,39.27,0,
g13458,546,37.18,0,
g13459,1075,33.49,0,
g1346,3198,36.43,0,
g13460,3632,32.1,0,
g13461,2667,30.97,0,
g13462,4095,30.99,0,
g13463,38411,33.87,0,
g13464,35124,37.57,0,
g13465,21032,38.12,0,
g13466,1032,62.02,0,
g13467,3014,40.35,0,
g13468,11451,34.43,0,
g13469,13543,32.39,0,
g1347,12001,44.93,0,
g13470,645,45.74,0,
g13471,3321,32.31,0,
g13472,8119,33.33,0,
g13473,46374,37.5,0,
g13474,8209,33.41,0,
g13475,1390,30.86,0,
g13476,705,39.29,0,
g13477,354,44.92,0,
g13478,24140,37.29,0,
g13479,17742,36.65,0,
g1348,2054,38.12,0,
g13480,11268,35.15,0,
g13481,14969,37.5,0,
g13482,16178,35.96,0,
g13483,20080,36.69,0,
g13484,25092,38.28,0,
g13485,204,50.98,0,
g13486,1037,32.11,0,
g13487,33826,37.66,0,
g13488,3366,40.67,0,
g13489,20338,31.84,0,
g1349,3960,43.21,0,
g13490,393,45.8,0,
g13491,6348,34.81,0,
g13492,3218,39.68,0,
g13493,998,41.08,0,
g13494,8082,33.52,0,
g13495,7718,35.89,0,
g13496,706,41.22,0,
g13497,10676,33.51,0,
g13498,8044,33.47,0,
g13499,10124,31.67,0,
g135,231,54.11,0,
g1350,594,37.04,0,
g13500,7190,35.29,0,
g13501,21107,36.52,0,
g13502,10708,33.4,0,
g13503,32754,36.83,0,
g13504,10507,37.89,0,
g13505,7115,36.13,0,
g13506,9383,36.09,0,
g13507,9257,36.09,0,
g13508,17259,36.14,0,
g13509,12821,36.72,0,
g1351,243,53.91,0,
g13510,463,40.39,0,
g13511,7825,33.85,0,
g13512,66945,35.36,0,
g13513,45158,35.62,0,
g13514,27209,35.03,0,
g13515,22063,36.64,0,
g13516,5079,34.89,0,
g13517,4301,32.71,0,
g13518,12923,39.63,0,
g13519,17213,34.54,0,
g1352,5151,37.24,0,
g13520,54298,37.0,0,
g13521,26858,38.31,0,
g13522,8164,36.2,0,
g13523,25996,37.41,0,
g13524,12057,34.04,0,
g13525,11919,39.94,0,
g13526,18268,32.64,0,
g13527,37768,35.8,0,
g13528,2457,32.19,0,
g13529,3495,34.68,0,
g1353,315,67.3,0,
g13530,15411,42.58,0,
g13531,2862,45.25,0,
g13532,15390,33.04,0,
g13533,22599,36.12,0,
g13534,22932,35.98,0,
g13535,9107,34.24,0,
g13536,240,48.75,0,
g13537,657,41.7,0,
g13538,810,33.58,0,
g13539,393,49.87,0,
g1354,689,50.94,0,
g13540,4793,35.49,0,
g13541,2484,36.39,0,
g13542,9200,35.91,0,
g13543,7700,38.74,0,
g13544,576,35.94,0,
g13545,4447,32.76,0,
g13546,12049,35.24,0,
g13547,20424,32.96,0,
g13548,8260,32.29,0,
g13549,810,35.43,0,
g1355,3601,35.63,0,
g13550,9140,36.77,0,
g13551,1671,41.05,0,
g13552,15091,34.29,0,
g13553,255,73.73,0,
g13554,387,44.7,0,
g13555,2689,33.17,0,
g13556,973,36.18,0,
g13557,30090,35.82,0,
g13558,82022,35.76,0,
g13559,309,53.72,0,
g1356,15985,34.13,0,
g13560,13531,35.64,0,
g13561,318,53.14,0,
g13562,23365,37.21,0,
g13563,1559,50.67,0,
g13564,294,61.22,0,
g13565,101034,37.13,0,
g13566,4892,43.89,0,
g13567,7033,32.53,0,
g13568,18217,36.08,0,
g13569,11905,31.86,0,
g1357,21724,35.42,0,
g13570,6558,30.47,0,
g13571,888,42.34,0,
g13572,24501,36.78,0,
g13573,11031,37.0,0,
g13574,4291,42.18,0,
g13575,617,67.1,0,
g13576,4074,34.0,0,
g13577,31924,35.26,0,
g13578,222,68.02,0,
g13579,1267,31.25,0,
g1358,1763,43.68,0,
g13580,414,43.24,0,
g13581,10268,35.09,0,
g13582,8938,33.09,0,
g13583,35205,38.08,0,
g13584,2716,36.38,0,
g13585,225,51.11,0,
g13586,13342,33.42,0,
g13587,9475,32.73,0,
g13588,34535,36.01,0,
g13589,354,37.85,0,
g1359,26419,38.82,0,
g13590,4901,32.48,0,
g13591,13026,36.24,0,
g13592,25595,38.56,0,
g13593,528,51.7,0,
g13594,2836,33.36,0,
g13595,1173,44.42,0,
g13596,4962,30.37,0,
g13597,10180,35.12,0,
g13598,14647,34.4,0,
g13599,1917,31.04,0,
g136,5913,35.75,0,
g1360,231,66.23,0,
g13600,809,31.4,0,
g13601,7505,32.82,0,
g13602,15851,34.21,0,
g13603,70796,37.3,0,
g13604,7016,33.61,0,
g13605,21510,33.7,0,
g13606,3266,39.77,0,
g13607,1447,44.92,0,
g13608,3219,39.55,0,
g13609,210,54.29,0,
g1361,6952,39.05,0,
g13610,339,46.9,0,
g13611,28127,35.2,0,
g13612,1409,36.98,0,
g13613,48386,35.76,0,
g13614,31160,36.62,0,
g13615,9564,35.49,0,
g13616,4675,32.19,0,
g13617,3388,34.33,0,
g13618,417,45.8,0,
g13619,279,48.75,0,
g1362,2124,45.67,0,
g13620,795,43.27,0,
g13621,6172,38.66,0,
g13622,9968,38.45,0,
g13623,675,39.56,0,
g13624,2239,38.99,0,
g13625,399,40.1,0,
g13626,303,47.85,0,
g13627,795,41.64,0,
g13628,795,41.13,0,
g13629,805,37.27,0,
g1363,21802,39.8,0,
g13630,1104,39.49,0,
g13631,768,46.09,0,
g13632,6243,39.98,0,
g13633,1152,54.95,0,
g13634,3910,36.14,0,
g13635,25454,34.65,0,
g13636,5554,40.17,0,
g13637,1865,39.46,0,
g13638,7178,37.34,0,
g13639,10155,41.44,0,
g1364,351,48.72,0,
g13640,17267,34.3,0,
g13641,1092,33.79,0,
g13642,11670,36.42,0,
g13643,7690,32.68,0,
g13644,8503,33.01,0,
g13645,7418,35.99,0,
g13646,1618,36.59,0,
g13647,6468,32.61,0,
g13648,7744,32.58,0,
g13649,9133,38.53,0,
g1365,2335,42.36,0,
g13650,10686,39.48,0,
g13651,15382,37.1,0,
g13652,2148,37.52,0,
g13653,8445,38.48,0,
g13654,264,59.09,0,
g13655,5562,38.76,0,
g13656,23529,37.58,0,
g13657,8476,35.95,0,
g13658,33317,38.44,0,
g13659,3836,41.42,0,
g1366,1038,44.51,0,
g13660,369,65.04,0,
g13661,4580,42.47,0,
g13662,13510,46.77,0,
g13663,306,64.71,0,
g13664,27145,43.67,0,
g13665,1593,44.44,0,
g13666,5599,40.03,0,
g13667,261,50.57,0,
g13668,26754,36.94,0,
g13669,18094,35.79,0,
g1367,7113,37.45,0,
g13670,5502,46.51,0,
g13671,7691,41.41,0,
g13672,17632,36.52,0,
g13673,1253,46.37,0,
g13674,10334,39.68,0,
g13675,2364,40.44,0,
g13676,47323,34.88,0,
g13677,291,53.95,0,
g13678,59909,37.4,0,
g13679,15550,36.51,0,
g1368,6141,33.28,0,
g13680,1527,56.12,0,
g13681,39650,35.06,0,
g13682,496,32.06,0,
g13683,141127,36.51,0,
g13684,1364,31.82,0,
g13685,4716,32.17,0,
g13686,10773,32.71,0,
g13687,49456,36.71,0,
g13688,11714,35.27,0,
g13689,13079,37.15,0,
g1369,12006,36.71,0,
g13690,10547,38.5,0,
g13691,7794,37.34,0,
g13692,8208,39.55,0,
g13693,249,51.0,0,
g13694,587,57.41,0,
g13695,276,60.51,0,
g13696,3145,33.35,0,
g13697,978,33.84,0,
g13698,28658,34.62,0,
g13699,4795,41.58,0,
g137,28759,39.28,0,
g1370,5180,37.86,0,
g13700,549,57.74,0,
g13701,11832,38.2,0,
g13702,31969,39.27,0,
g13703,49183,33.65,0,
g13704,795,32.2,0,
g13705,8807,34.63,0,
g13706,9777,34.09,0,
g13707,3940,31.32,0,
g13708,8776,35.8,0,
g13709,447,44.97,0,
g1371,16059,38.85,0,
g13710,149783,35.59,0,
g13711,57997,38.08,0,
g13712,26966,33.98,0,
g13713,799,32.17,0,
g13714,80103,35.89,0,
g13715,7675,33.75,0,
g13716,1453,31.31,0,
g13717,5883,39.06,0,
g13718,10147,37.06,0,
g13719,456,40.57,0,
g1372,4680,38.12,0,
g13720,294,53.4,0,
g13721,16199,35.15,0,
g13722,3780,31.19,0,
g13723,2943,34.15,0,
g13724,602,36.54,0,
g13725,384,78.12,0,
g13726,4961,33.54,0,
g13727,39377,35.41,0,
g13728,3342,35.46,0,
g13729,7250,34.54,0,
g1373,615,48.62,0,
g13730,240,55.42,0,
g13731,5988,34.62,0,
g13732,3238,38.76,0,
g13733,10174,37.49,0,
g13734,5758,36.12,0,
g13735,2926,39.68,0,
g13736,3287,36.75,0,
g13737,366,56.56,0,
g13738,6624,38.8,0,
g13739,7356,38.43,0,
g1374,1064,38.35,0,
g13740,95634,35.74,0,
g13741,750,34.27,0,
g13742,13642,34.01,0,
g13743,20040,37.59,0,
g13744,11030,36.61,0,
g13745,252,38.49,0,
g13746,318,39.31,0,
g13747,64913,35.75,0,
g13748,741,48.99,0,
g13749,327,48.93,0,
g1375,1245,37.35,0,
g13750,42990,36.43,0,
g13751,18187,34.21,0,
g13752,12623,36.19,0,
g13753,1866,39.71,0,
g13754,20717,36.85,0,
g13755,2304,33.29,0,
g13756,2260,34.78,0,
g13757,3834,34.14,0,
g13758,3650,35.29,0,
g13759,4807,34.85,0,
g1376,3402,34.24,0,
g13760,2138,47.05,0,
g13761,3754,43.63,0,
g13762,216,73.61,0,
g13763,10243,35.41,0,
g13764,10702,37.36,0,
g13765,3262,34.3,0,
g13766,30345,36.43,0,
g13767,903,41.53,0,
g13768,951,42.8,0,
g13769,3051,39.0,0,
g1377,1813,34.8,0,
g13770,17173,34.79,0,
g13771,16575,46.41,0,
g13772,11091,35.43,0,
g13773,4665,37.21,0,
g13774,5258,35.39,0,
g13775,1171,45.52,0,
g13776,1744,38.88,0,
g13777,3535,36.27,0,
g13778,5552,40.38,0,
g13779,1569,42.89,0,
g1378,23619,35.02,0,
g13780,1943,38.09,0,
g13781,4884,37.24,0,
g13782,342,54.97,0,
g13783,3126,38.29,0,
g13784,6705,37.48,0,
g13785,297,58.59,0,
g13786,12663,36.22,0,
g13787,852,39.2,0,
g13788,2159,38.86,0,
g13789,6978,34.25,0,
g1379,8505,32.79,0,
g13790,554,33.75,0,
g13791,9247,31.86,0,
g13792,942,38.85,0,
g13793,1107,44.99,0,
g13794,938,34.01,0,
g13795,1328,39.01,0,
g13796,675,36.44,0,
g13797,8172,36.07,0,
g13798,6163,38.16,0,
g13799,2889,37.9,0,
g138,10994,33.99,0,
g1380,17863,33.51,0,
g13800,9026,35.0,0,
g13801,19964,32.36,0,
g13802,4199,32.36,0,
g13803,306,61.11,0,
g13804,892,35.87,0,
g13805,9686,33.74,0,
g13806,5724,31.04,0,
g13807,2564,39.86,0,
g13808,5247,37.85,0,
g13809,16871,33.6,0,
g1381,12994,36.27,0,
g13810,11890,35.51,0,
g13811,64587,37.88,0,
g13812,282,43.62,0,
g13813,2148,36.5,0,
g13814,4608,51.0,0,
g13815,222,62.61,0,
g13816,3334,56.21,0,
g13817,14110,36.33,0,
g13818,1392,36.64,0,
g13819,1392,36.71,0,
g1382,8312,36.2,0,
g13820,11232,38.35,0,
g13821,3070,41.95,0,
g13822,2432,55.3,0,
g13823,318,66.04,0,
g13824,7271,40.43,0,
g13825,810,73.33,0,
g13826,1057,44.37,0,
g13827,7649,36.91,0,
g13828,4273,37.49,0,
g13829,984,38.01,0,
g1383,18093,34.64,0,
g13830,4502,39.87,0,
g13831,79835,37.06,0,
g13832,7314,33.36,0,
g13833,36785,37.78,0,
g13834,17139,35.97,0,
g13835,20610,40.82,0,
g13836,130040,36.82,0,
g13837,1332,40.47,0,
g13838,10055,32.54,0,
g13839,4003,37.6,0,
g1384,8621,36.68,0,
g13840,621,33.17,0,
g13841,25139,39.85,0,
g13842,14681,37.94,0,
g13843,2911,37.55,0,
g13844,13982,38.71,0,
g13845,2220,34.73,0,
g13846,1590,39.94,0,
g13847,11308,37.63,0,
g13848,1664,34.07,0,
g13849,1779,34.51,0,
g1385,8527,35.66,0,
g13850,12532,35.07,0,
g13851,20565,35.97,0,
g13852,31135,36.7,0,
g13853,225,64.89,0,
g13854,8117,37.01,0,
g13855,1192,39.51,0,
g13856,554,70.94,0,
g13857,12057,31.58,0,
g13858,186757,39.42,0,
g13859,393,52.16,0,
g1386,22179,37.97,0,
g13860,4295,37.09,0,
g13861,2923,35.79,0,
g13862,13113,37.22,0,
g13863,441,51.93,0,
g13864,318,67.61,0,
g13865,240,70.0,0,
g13866,29701,38.89,0,
g13867,476,52.52,0,
g13868,3919,33.32,0,
g13869,973,35.87,0,
g1387,303,58.09,0,
g13870,3943,36.88,0,
g13871,12657,34.08,0,
g13872,3119,39.69,0,
g13873,2161,37.58,0,
g13874,2159,37.47,0,
g13875,726,39.26,0,
g13876,4082,57.06,0,
g13877,3523,34.06,0,
g13878,816,45.47,0,
g13879,1721,40.79,0,
g1388,1812,40.73,0,
g13880,2866,39.67,0,
g13881,9989,37.71,0,
g13882,18013,38.94,0,
g13883,470,34.04,0,
g13884,22150,35.07,0,
g13885,1363,43.07,0,
g13886,503,39.76,0,
g13887,63446,36.95,0,
g13888,7644,35.09,0,
g13889,9842,34.55,0,
g1389,243,54.73,0,
g13890,276,42.03,0,
g13891,2470,38.38,0,
g13892,297,69.02,0,
g13893,2406,45.43,0,
g13894,16725,36.78,0,
g13895,18171,36.42,0,
g13896,1309,39.42,0,
g13897,1976,37.5,0,
g13898,13843,35.8,0,
g13899,11066,39.82,0,
g139,6120,36.86,0,
g1390,1107,37.67,0,
g13900,5494,34.44,0,
g13901,14224,36.7,0,
g13902,21897,35.0,0,
g13903,798,38.47,0,
g13904,23522,37.08,0,
g13905,98632,36.81,0,
g13906,3501,31.11,0,
g13907,15703,33.61,0,
g13908,10625,31.72,0,
g13909,7347,34.74,0,
g1391,13723,39.42,0,
g13910,15473,42.49,0,
g13911,102532,37.14,0,
g13912,1827,32.02,0,
g13913,43522,35.87,0,
g13914,10655,34.74,0,
g13915,6562,34.94,0,
g13916,15043,44.35,0,
g13917,16834,35.17,0,
g13918,927,45.85,0,
g13919,15796,43.11,0,
g1392,468,57.26,0,
g13920,5691,36.74,0,
g13921,861,35.77,0,
g13922,1890,41.22,0,
g13923,5570,32.8,0,
g13924,2998,35.69,0,
g13925,306,39.54,0,
g13926,20425,37.61,0,
g13927,6551,39.09,0,
g13928,990,36.26,0,
g13929,514,30.93,0,
g1393,3088,41.81,0,
g13930,1697,36.3,0,
g13931,441,32.88,0,
g13932,2281,30.29,0,
g13933,4512,34.11,0,
g13934,1674,34.11,0,
g13935,14021,32.17,0,
g13936,22285,36.84,0,
g13937,935,37.01,0,
g13938,2814,35.39,0,
g13939,10830,35.48,0,
g1394,4643,37.15,0,
g13940,13273,38.79,0,
g13941,5351,38.14,0,
g13942,3340,36.2,0,
g13943,11038,32.96,0,
g13944,62502,36.69,0,
g13945,3534,36.28,0,
g13946,1605,32.83,0,
g13947,40612,38.27,0,
g13948,30412,38.46,0,
g13949,276,39.13,0,
g1395,3236,37.27,0,
g13950,18692,35.36,0,
g13951,8636,33.82,0,
g13952,48454,37.56,0,
g13953,1179,61.49,0,
g13954,43689,35.99,0,
g13955,2478,40.8,0,
g13956,294,42.18,0,
g13957,1657,43.75,0,
g13958,387,38.24,0,
g13959,1107,35.32,0,
g1396,470,60.64,0,
g13960,29976,35.58,0,
g13961,5285,31.81,0,
g13962,19680,34.32,0,
g13963,27923,32.71,0,
g13964,4267,33.21,0,
g13965,1290,42.09,0,
g13966,92711,34.8,0,
g13967,26496,36.9,0,
g13968,19834,35.05,0,
g13969,14716,39.03,0,
g1397,40065,35.45,0,
g13970,1581,42.44,0,
g13971,166006,36.13,0,
g13972,231,54.11,0,
g13973,408,61.27,0,
g13974,13033,36.52,0,
g13975,481,43.66,0,
g13976,5541,39.27,0,
g13977,361,51.8,0,
g13978,1919,42.05,0,
g13979,5649,35.69,0,
g1398,2812,36.88,0,
g13980,270,63.7,0,
g13981,2065,33.08,0,
g13982,10474,34.23,0,
g13983,1836,32.52,0,
g13984,9750,33.77,0,
g13985,59248,35.46,0,
g13986,6167,34.6,0,
g13987,492,50.41,0,
g13988,627,48.17,0,
g13989,7918,34.81,0,
g1399,3587,42.51,0,
g13990,18670,36.9,0,
g13991,390,49.49,0,
g13992,447,49.44,0,
g13993,1278,44.21,0,
g13994,627,44.34,0,
g13995,303,50.17,0,
g13996,390,48.46,0,
g13997,729,44.58,0,
g13998,10434,42.14,0,
g13999,5574,34.28,0,
g14,6222,37.25,0,
g140,8000,34.75,0,
g1400,291,45.02,0,
g14000,38213,36.07,0,
g14001,3741,40.95,0,
g14002,24192,32.74,0,
g14003,1077,44.29,0,
g14004,4027,31.02,0,
g14005,794,33.75,0,
g14006,18998,32.91,0,
g14007,14933,32.91,0,
g14008,188415,37.54,0,
g14009,351,68.66,0,
g1401,6617,33.41,0,
g14010,240,54.17,0,
g14011,7564,35.99,0,
g14012,3324,34.09,0,
g14013,2925,32.92,0,
g14014,18166,38.07,0,
g14015,29082,36.29,0,
g14016,27064,36.1,0,
g14017,2086,51.49,0,
g14018,45034,36.06,0,
g14019,328,34.15,0,
g1402,43311,37.33,0,
g14020,3355,30.43,0,
g14021,5727,36.56,0,
g14022,3219,32.46,0,
g14023,3945,46.87,0,
g14024,13046,32.78,0,
g14025,18284,37.22,0,
g14026,9784,33.64,0,
g14027,13977,35.49,0,
g14028,231,66.67,0,
g14029,6978,39.88,0,
g1403,29400,33.84,0,
g14030,54488,38.3,0,
g14031,330,39.39,0,
g14032,4327,42.29,0,
g14033,1729,31.75,0,
g14034,9642,37.66,0,
g14035,16141,35.01,0,
g14036,5201,34.61,0,
g14037,6110,34.94,0,
g14038,41542,35.2,0,
g14039,6702,34.5,0,
g1404,3400,34.59,0,
g14040,2055,38.73,0,
g14041,9617,32.34,0,
g14042,128414,36.33,0,
g14043,4625,36.97,0,
g14044,1854,31.72,0,
g14045,20508,38.73,0,
g14046,16570,35.93,0,
g14047,10049,37.04,0,
g14048,20769,36.65,0,
g14049,261,63.6,0,
g1405,11264,33.12,0,
g14050,69258,38.54,0,
g14051,6469,35.93,0,
g14052,240,62.08,0,
g14053,4708,39.17,0,
g14054,1052,52.47,0,
g14055,342,58.77,0,
g14056,6012,40.09,0,
g14057,234,54.27,0,
g14058,41738,37.87,0,
g14059,11062,39.29,0,
g1406,3096,31.27,0,
g14060,9001,32.81,0,
g14061,18113,32.93,0,
g14062,4677,36.37,0,
g14063,2363,38.3,0,
g14064,12813,36.37,0,
g14065,12726,37.46,0,
g14066,315,48.25,0,
g14067,17846,34.44,0,
g14068,1703,32.3,0,
g14069,13329,37.56,0,
g1407,1986,31.27,0,
g14070,1635,34.62,0,
g14071,2543,38.38,0,
g14072,4322,38.5,0,
g14073,4487,36.71,0,
g14074,4343,35.18,0,
g14075,2323,39.73,0,
g14076,9678,39.65,0,
g14077,12222,46.76,0,
g14078,10874,36.18,0,
g14079,33762,34.08,0,
g1408,42332,37.81,0,
g14080,399,55.39,0,
g14081,5095,37.04,0,
g14082,8035,48.99,0,
g14083,2201,50.75,0,
g14084,9219,35.47,0,
g14085,13369,38.98,0,
g14086,1918,33.21,0,
g14087,8972,40.49,0,
g14088,8867,36.21,0,
g14089,18994,33.67,0,
g1409,1895,42.32,0,
g14090,8647,38.31,0,
g14091,5988,34.99,0,
g14092,21088,34.65,0,
g14093,10772,34.36,0,
g14094,471,59.24,0,
g14095,372,68.01,0,
g14096,59010,36.04,0,
g14097,447,59.96,0,
g14098,8025,32.61,0,
g14099,10604,36.23,0,
g141,3920,45.46,0,
g1410,402,56.47,0,
g14100,7848,36.96,0,
g14101,107705,35.66,0,
g14102,11257,34.65,0,
g14103,9636,38.26,0,
g14104,726,38.15,0,
g14105,300,62.0,0,
g14106,9791,36.95,0,
g14107,17670,37.45,0,
g14108,1602,47.69,0,
g14109,2927,36.86,0,
g1411,1452,37.95,0,
g14110,2877,34.06,0,
g14111,1182,43.74,0,
g14112,1257,38.66,0,
g14113,1305,43.83,0,
g14114,5327,41.49,0,
g14115,1517,33.55,0,
g14116,1228,35.02,0,
g14117,7569,35.54,0,
g14118,2045,32.42,0,
g14119,354,31.64,0,
g1412,5405,30.79,0,
g14120,4536,36.51,0,
g14121,19193,37.07,0,
g14122,49790,36.32,0,
g14123,67591,35.66,0,
